Date,US_EQUITY,INTL_EQUITY,US_BONDS,INTL_BONDS,US_REIT,INTL_REIT,GOLD,BTC
2021-01-04,0.01578276397082692,0.03935202319757989,0.26109071222920843,0.683774465068091,1.1348484618332424e-09,3.0962352829920977e-09,2.8043372336318668e-08,3.2598376833479538e-09
2021-01-05,0.0029542009160618914,0.052242310923851634,0.25230911016794744,0.6924943741926505,1.7880204594347873e-09,1.6745793721240065e-10,8.902960767188454e-10,9.53714236135421e-10
2021-01-06,0.005718879030739074,0.04642509200325925,0.24696016965799422,0.7008958483033062,3.2050810940049355e-09,3.4175641854486477e-09,2.673342580634846e-09,1.708713386389233e-09
2021-01-07,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.9125
2021-01-08,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.9125
2021-01-11,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.9125
2021-01-12,0.010848889485470987,0.039584422136525035,0.2184470497285484,0.7311196336861089,1.906912418908594e-09,1.0795399502479302e-09,1.9116206657813288e-09,6.527367451557538e-11
2021-01-13,0.01158745694432903,0.04183625212603477,0.22657436773921727,0.7200019214959728,4.426531632179133e-10,1.4802830101417953e-10,9.947551351122386e-10,1.090096661010691e-10
2021-01-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-01-15,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.9125
2021-01-19,0.014116832304576195,0.04267601632663542,0.22107866159707074,0.7221284863993186,1.5339228262566008e-09,6.466143215073399e-10,1.1918620880867702e-09,0.0
2021-01-20,0.020293344276181697,0.058135982661471186,0.24294647472795014,0.678624198334397,0.0,0.0,0.0,0.0
2021-01-21,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-01-22,0.0125,0.0125,0.0125,0.9125,0.0125,0.0125,0.0125,0.0125
2021-01-25,0.007994722196943221,0.05249578059647807,0.27125442761185575,0.6682550683054496,5.115979959724456e-10,1.8621074346706042e-10,5.914647883797705e-10,0.0
2021-01-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-01-27,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-01-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-01-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-02,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-03,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-04,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-08,0.008659803599417117,0.041230504604571325,0.2722745563001946,0.6720155916401452,0.0,0.005819543855671719,0.0,0.0
2021-02-09,0.009746993164203828,0.042173211843979125,0.2988654340419136,0.643301320857095,0.0,0.005913040092808342,0.0,0.0
2021-02-10,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-11,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.9125
2021-02-12,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-16,0.007213280722342357,0.04097747644617959,0.276264602270205,0.675544596167206,9.147102011635515e-09,1.9042404511599042e-08,1.6144233237448472e-08,6.03273119088468e-11
2021-02-17,0.003100775033174822,0.0529898488595628,0.22496080318214062,0.7189479464018934,9.677607493366673e-08,7.314620979038741e-08,3.268986902778269e-07,1.297022533217997e-07
2021-02-18,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-22,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-24,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-02-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-03-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-03-02,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
