Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__BTC
2021-01-04,5.2057934619043995e-05,4.215134443310199e-05,-1.0138930272919652e-07,-1.737489277721301e-06,5.333959950835103e-05,3.72048226210633e-05,1.735384693965512e-05,6.460561738604651e-05,7.424543515680781e-05,-3.3826380705528887e-06,-5.238162520693881e-06,4.1557122412112357e-05,6.795144988772426e-05,1.3200796230363498e-05,1.1942361969224639e-05,1.8627272812578518e-06,9.541140499134398e-07,-2.2614225941062328e-07,-1.419538527449769e-06,2.1470452424640618e-06,1.248791526561856e-05,1.5527516353441588e-06,-2.2839772793231786e-06,-4.4700778717426595e-06,5.84747841470998e-07,-5.531086445688558e-06,0.00010085418259699546,5.057804866255669e-05,1.7789930856450635e-05,8.653961665582279e-05,9.165125940689937e-05,1.698426804118878e-05,4.9211411068741783e-05,7.502578132948644e-05,4.434810652087406e-05,0.0024891467161850013
2021-01-05,6.047392056361449e-05,3.585044473120736e-05,9.614279785673821e-07,-1.1890580125324986e-06,7.890125274467837e-05,4.2973469071773404e-05,-2.7436340026578386e-06,-2.040136126577206e-05,7.102357578008344e-05,-3.52508662761464e-06,-5.06905924130252e-06,2.9662462230920462e-05,6.125915588317954e-05,1.8637524706490284e-05,3.774439605982185e-05,1.847734757472271e-06,9.375434611406755e-07,2.4213282642885088e-06,-6.016751883367575e-07,2.7313372586574626e-07,4.3090477887736315e-06,1.4766841772599454e-06,-1.0398183104272584e-06,-3.893897755653204e-06,-1.8385836080464688e-07,-8.322136622057305e-06,0.00016649209033313674,6.748564285744651e-05,-3.0775036516330544e-05,-0.00012087032292366316,9.169966722454133e-05,2.752478669123898e-06,-9.993554191235279e-06,0.00010199369707967744,0.00017566623894894957,0.002910204141463263
2021-01-06,5.94557119790695e-05,3.849635685642907e-05,5.012059824084114e-07,-1.6816547939774948e-06,7.411943193861637e-05,4.710280201063548e-05,-1.7265580669473615e-06,5.073939463921049e-06,7.55777259447231e-05,-4.053341743017185e-06,-5.801295776843704e-06,2.7794970040019378e-05,6.991074430275795e-05,1.908587601831723e-05,8.004736165486006e-05,1.7989478433329177e-06,9.682589473988707e-07,2.2834116664445566e-06,-1.6000095199824225e-06,1.2528383782487892e-07,3.106011800734243e-07,1.5099225919502708e-06,-9.67113751446165e-07,-5.109473393345654e-06,-3.5700064700080336e-07,-1.3062291684005804e-05,0.0001565034382649977,6.331380789090895e-05,-2.894412728122869e-05,-0.00011406170104515889,0.00010343519047507566,4.777969926257312e-06,5.29266619125283e-05,9.615247424522584e-05,0.00017304632134918142,0.0029609062831096973
2021-01-07,5.806243742397937e-05,3.994206174311806e-05,-1.3095646152029756e-06,-1.9028125403160098e-06,6.949761236341628e-05,4.427663388999735e-05,-7.301572277093165e-06,3.3671022350090417e-05,7.753029106412798e-05,-6.886120155803457e-06,-6.0095394917768664e-06,2.5825575030770315e-05,6.571609964459247e-05,8.131494039256333e-06,0.00012516901697296243,3.1495145607078e-06,1.1739483289585707e-06,2.2894592717853952e-06,-1.504008948783477e-06,4.768902815214023e-06,-2.3380192595254774e-05,1.4670353694477414e-06,-8.832144903918808e-07,-4.802904989744914e-06,5.056237209549642e-07,-1.6559899967788693e-05,0.00014712726276218483,5.951497941745441e-05,-2.6751288974840593e-05,-0.00010953980110870297,9.722907904657111e-05,4.4912917306818725e-06,4.9751062197776604e-05,0.00010521569668085502,8.717354945781644e-05,0.0031674614857278693
2021-01-08,6.753453133799593e-05,3.90760208823406e-05,-2.133484620600823e-06,-2.1033034143215694e-06,6.522085610677896e-05,3.1250983127426874e-05,-9.758938511794366e-06,9.060916813515913e-05,7.305927065445561e-05,-6.579565206757841e-06,-5.686138093350104e-06,2.4263412411299235e-05,6.054822990720768e-05,7.301561528603545e-06,0.0001246236755734612,3.0234107182715323e-06,1.1254303773064754e-06,2.159538253639495e-06,-6.914681566625214e-07,4.684464207525378e-06,-2.6084378431228726e-05,1.3866554132294402e-06,-8.276253430745287e-07,-4.262896597165127e-06,5.456086025800475e-07,-1.6998233975357957e-05,0.00013830050903159238,5.602963640891363e-05,-2.5122320995026896e-05,-0.00010345388285343925,9.96940824495583e-05,6.539161690981349e-06,-4.206621283862715e-07,9.954985239100453e-05,6.876670477455535e-05,0.0032457170272555797
2021-01-11,6.542319692870776e-05,3.951749964206608e-05,-2.413302681440581e-06,-1.9161941835629086e-06,6.459363311408329e-05,3.0886406642603706e-05,-2.078066435986919e-05,9.731831026926149e-05,7.267523473578562e-05,-6.7702505550269734e-06,-5.257528534570886e-06,2.752488997231974e-05,5.908372042760219e-05,-9.799423097736837e-06,0.00013458209322860453,2.927706988893428e-06,1.0451046939238573e-06,1.3394389977592208e-06,-9.673933008645935e-07,6.842549809813549e-06,-2.7071615030630678e-05,1.3053678117530051e-06,-6.748341620290656e-07,-3.95971554495708e-06,1.4857230011096988e-07,-1.5597141250991094e-05,0.00013556633379430803,5.522538516269916e-05,-4.326822869168684e-05,-7.668174099728285e-05,9.488805111619068e-05,-2.8871591985312037e-06,9.057610717157602e-06,0.0001629981698152957,-8.000876205747855e-06,0.0031269852342184785
2021-01-12,6.40757288229039e-05,4.253359054222246e-05,-1.6298513175119564e-06,-1.098764880268324e-06,6.631687659296374e-05,3.516021368919834e-05,-1.8416862733334257e-05,0.00014544418390977963,7.957234116813745e-05,-5.029428619212579e-06,-3.474136433266397e-06,3.7573454011688814e-05,6.834239885940861e-05,-6.877319443662906e-06,0.0002392788943319351,2.9102641135233343e-06,1.1564248304886759e-06,2.646131085851543e-06,6.085473150091275e-07,6.708712228322212e-06,-1.2078069748321646e-05,1.4184582163298394e-06,8.912879556731382e-07,-2.0525905658655982e-06,4.440185357203197e-07,4.358619798681001e-08,0.00013959223638527636,6.52187633282149e-05,-3.824626248979936e-05,4.512294358387238e-05,0.00010375688407480827,-5.9229217729959653e-08,0.00013677354440530399,0.00015370223637790783,1.586109819189637e-05,0.004069041998260119
2021-01-13,6.0232676822943314e-05,4.003243034465878e-05,-1.5239729868823697e-06,-1.048071811334268e-06,6.233441206752424e-05,3.3082376963036645e-05,-1.7258188437669538e-05,0.00013626988857303956,7.653172995226251e-05,-4.4519566811205216e-06,-3.7849974669471655e-06,3.520136543910025e-05,6.532514843437861e-05,-4.63524617733524e-06,0.0002096613124508301,2.779492436774764e-06,1.004456214079431e-06,2.4686489519004716e-06,7.443051799274647e-07,6.597115174547929e-06,-1.3780241302960205e-05,1.4889010002954805e-06,8.73060127163567e-07,-2.2539173451497764e-06,-1.3059856082793445e-07,4.6120995123411664e-06,0.00013122469012521125,6.123210619578133e-05,-3.607566428481768e-05,4.345143628928558e-05,9.820834997116243e-05,1.0874177120972638e-06,0.0001190316303113094,0.00014641052421299685,-1.1938410673946093e-06,0.003959230422982413
2021-01-14,5.7000227947895134e-05,3.7463413560465215e-05,-9.54720947350815e-07,-4.983536973448506e-07,6.0440507053350524e-05,3.121013951358399e-05,-1.6737016233418478e-05,0.0001425182843640021,7.201298958455219e-05,-4.394082617814381e-06,-3.7710910428951725e-06,3.228081642307738e-05,6.135628387455343e-05,-4.131901668800966e-06,0.0001907648424146047,3.2111471943159945e-06,1.5539101723260392e-06,4.632700910557787e-06,8.408012928906643e-07,5.55714374481053e-06,5.112244814778714e-06,2.0207985634916435e-06,3.176496474457864e-06,-1.9748631737592868e-06,-7.790672979779236e-07,2.2742088125466783e-05,0.000132284893759852,5.8103567349876276e-05,-3.639994749321351e-05,0.00011064586037138673,9.234914402996491e-05,8.702338864154782e-07,0.00011615100572991213,0.00013831925056520593,-2.0568117630485675e-05,0.004267056338607503
2021-01-15,5.4302395168296194e-05,3.384008897299383e-05,-4.890597754722645e-07,-2.0825251552076564e-07,5.591623975560575e-05,2.7409052631597622e-05,-1.561462017809217e-05,0.00012378363286579227,7.031212809345282e-05,-4.90826479443849e-06,-4.040421893462744e-06,3.205405472923024e-05,6.13480313120828e-05,-4.109072670959997e-06,0.00019871531162958566,3.2494073752073693e-06,1.6078130971273864e-06,3.847031227193652e-06,-3.0016030637612626e-07,5.2905406114931795e-06,-9.530729993180941e-07,1.9933000404938496e-06,2.662418319419804e-06,-2.5511973380622134e-06,-6.897450756764167e-07,1.7708453800533766e-05,0.0001254640177693886,5.7014895428356374e-05,-3.436286943649208e-05,0.00011666760796944982,9.195791532964394e-05,5.024505744752388e-07,0.0001363756387834248,0.00013003943327603035,-2.100043074773483e-05,0.004154632410104091
