Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__BTC
2017-03-28,2.123227824094185e-05,1.630986006920327e-05,-5.2450558605987485e-06,-2.0391961705213926e-06,5.578836385588954e-06,7.801036531233554e-06,-1.5140954228815067e-05,3.239721437611601e-05,3.323540026318372e-05,-3.843175583919873e-06,1.0460316624235785e-08,-7.223717071483264e-06,5.869530539977646e-06,-1.119384718002935e-05,3.2944266592999983e-06,4.152988789963195e-06,2.028231297666969e-06,6.555510795008216e-07,1.302668655021801e-07,8.99642124269356e-06,1.253926799958585e-05,1.808078142916765e-06,5.235212816057546e-07,-6.728792267220056e-07,3.83358912898803e-06,3.92082756564177e-06,2.4501013764430098e-05,1.1189800915041476e-05,-1.657558639505853e-06,3.959681697495882e-05,2.308538155151129e-05,4.347676598880381e-06,4.370628076054679e-05,3.3799873498241044e-05,6.589828279339914e-06,0.00055941468610889
2017-03-29,1.868782177241234e-05,1.630986006920327e-05,-4.414748942588547e-06,-1.7065757364868485e-06,4.075890977733213e-06,8.103938682273852e-06,-1.4073849945631495e-05,3.272033336249963e-05,3.323540026318372e-05,-3.843175583919873e-06,1.0460316624235785e-08,-7.223717071483264e-06,5.869530539977646e-06,-1.119384718002935e-05,3.2944266592999983e-06,3.94000481308574e-06,2.1050571281498756e-06,1.1871369236369796e-06,1.277719449476026e-07,8.48931220513216e-06,1.3914912902523218e-05,2.357414520399004e-06,8.515760991424263e-07,-4.0434636357049446e-07,3.1859446910715225e-06,8.615222954234452e-06,2.364246938124001e-05,1.1437111213211584e-05,-1.140038345759772e-06,4.08390393794274e-05,2.320947949189908e-05,3.956523421131266e-06,4.61297796193474e-05,3.3787919669155385e-05,2.3941906464245296e-06,0.0005972195334584999
2017-03-30,1.8816501447288617e-05,1.5374405606909888e-05,-4.7536484710632775e-06,-1.9309965558461987e-06,4.750236499279082e-06,8.56162465495988e-06,-1.4507798001381153e-05,3.330419929048991e-05,3.293545562460502e-05,-4.018830577182401e-06,-9.763876595526931e-07,-1.066984067171916e-05,4.186201117740124e-06,-1.1270073255093064e-05,4.924614798571473e-06,3.851466528681479e-06,1.722835545263138e-06,-4.759795352978791e-08,-4.6656059367100817e-07,8.43121433552799e-06,1.4560928948330137e-05,1.7832923261933412e-06,2.1245473719420422e-07,-5.963705854244195e-07,2.7513561296685924e-06,9.763273905192679e-06,2.6877757442429152e-05,1.3498490509458651e-05,-2.7515634381470997e-06,4.269402287448501e-05,2.445677739580174e-05,3.1610773834681957e-06,4.684635401305223e-05,3.37811874355909e-05,3.0983640534437625e-06,0.0005950081603890928
2017-03-31,1.887296076511235e-05,1.5839071896953264e-05,-4.8700262122379466e-06,-2.0077871644535994e-06,5.1897837395343485e-06,9.588535231468203e-06,-1.4800811491295182e-05,4.4946806902790705e-05,3.353434001602745e-05,-4.454712059757115e-06,-1.16512655458314e-06,-9.646025303323548e-06,4.606055248233746e-06,-1.2937972955467148e-05,1.7897738579475426e-05,4.0068965880589565e-06,1.8093950924782312e-06,-5.339163104786526e-07,-1.2836263329755313e-06,8.914860905364419e-06,3.96843133318833e-06,1.8268198197720445e-06,-2.8927866190861358e-08,-8.892921025515976e-07,3.0476892772382937e-06,5.313574077443782e-06,2.821397301609564e-05,1.503441861458277e-05,-4.434734613765814e-06,6.671218832088228e-05,2.3134338120984247e-05,-3.1662436033880897e-07,5.230504553444841e-05,3.513042349072205e-05,-3.8223683770243466e-05,0.0008678557455798366
2017-04-03,1.8701032045798973e-05,1.569285853078075e-05,-4.777353147182494e-06,-2.019359591560643e-06,5.580555977217951e-06,1.002759969998338e-05,-1.447839918102174e-05,4.932226323656926e-05,3.400847685609466e-05,-4.1141591939074095e-06,-9.55764677163594e-07,-9.590409640810701e-06,6.716681303693754e-06,-1.2410516315756784e-05,2.6795446483108365e-05,4.071414205502946e-06,1.9114997187963e-06,-8.655668512511462e-07,-7.60526354615752e-07,8.851838636155343e-06,3.873954535621791e-06,1.9063276972074556e-06,-1.0397430436753463e-07,-2.2344934420814734e-07,3.1621540025473567e-06,7.5041296317773114e-06,2.7453733968712443e-05,1.3233268022974197e-05,-5.284635712194546e-06,5.437387823797774e-05,2.7055799761314826e-05,-4.048190445465655e-07,5.615774217584775e-05,3.46329929125912e-05,-4.423814372572877e-05,0.0008012805288974988
2017-04-04,1.8612992400205925e-05,1.5194432174196372e-05,-4.431442460390315e-06,-1.789692767003869e-06,6.2262870781992864e-06,1.0282801458042667e-05,-1.3364865679195238e-05,5.334263295924485e-05,3.217614049957007e-05,-3.0193084475748434e-06,-1.1145364311880889e-07,-9.327033022459083e-06,7.039219830824613e-06,-1.0938492793178105e-05,4.600590983667068e-05,3.4658744665214285e-06,1.4070101568939946e-06,-4.4218319231320657e-07,-7.838376351246124e-07,8.693680855625878e-06,-8.823806132513361e-06,1.517282793049211e-06,-2.2533400134230192e-07,-3.720698943552047e-07,2.4838693098591815e-06,-1.3477419805338678e-06,3.434840295701061e-05,1.5209176892833167e-05,3.11519238086683e-06,3.705895011264973e-05,2.7588935979373878e-05,1.8480809166079447e-06,4.853079490928556e-05,4.414731707269283e-05,-7.774922762866213e-05,0.0006304283208309168
2017-04-05,1.8623846110443554e-05,1.5279096935958318e-05,-4.4373236533080676e-06,-1.771369772700935e-06,6.107919437636708e-06,1.015772814446197e-05,-1.3695504113096997e-05,5.454458489605402e-05,3.251550411855732e-05,-3.1245193047647827e-06,-3.800918372482869e-08,-9.880518535978634e-06,6.85975240487682e-06,-1.21170473262079e-05,5.0001605894366415e-05,3.4580960269014783e-06,1.384240613854136e-06,-3.096956096981466e-07,-5.689298526014671e-07,9.131677360530324e-06,-1.0469372662674056e-05,1.5331775098481752e-06,-3.451183330987657e-07,-4.1090990943077476e-07,2.2288086737102314e-06,-4.830006811102959e-07,3.5213253573828056e-05,1.565606154974694e-05,5.107654559671446e-06,3.0148351806978813e-05,2.705590441990053e-05,2.1850411973925876e-06,4.802161977943683e-05,4.810970988190012e-05,-9.089435705586319e-05,0.0006733773189178377
2017-04-06,1.9078832324333156e-05,1.8009456958764773e-05,-4.244196761711524e-06,-1.7111327972888563e-06,8.09566214501981e-06,1.128505085926333e-05,-1.3406603502760852e-05,5.583007778411762e-05,3.81270680534245e-05,-3.186878533736604e-06,-6.767137793848789e-07,-4.771898492953161e-06,9.644540999549588e-06,-1.1783190211993844e-05,5.727290265298675e-05,3.401618640400049e-06,1.2964233997614723e-06,-2.390857331272242e-07,-5.416378687481362e-07,9.095615008327461e-06,-9.973933226298396e-06,1.4482956287761886e-06,-7.151002888044615e-07,-6.311848384536474e-07,2.1370975694076785e-06,-3.539302077271528e-07,3.958019387926441e-05,1.806150021453946e-05,5.483672811405772e-06,3.548403479061369e-05,2.8378554367648024e-05,2.383677429505251e-06,5.104305867085687e-05,4.811126457872096e-05,-9.013566315528865e-05,0.0006769910703993407
2017-04-07,1.8758434061122327e-05,1.809271097556971e-05,-4.198349440870954e-06,-1.5910357550001896e-06,7.342248528757712e-06,1.0608654064591217e-05,-1.2859773557886478e-05,4.774453129916204e-05,3.9172243017340935e-05,-2.7553048848093964e-06,-3.757389791449445e-07,-3.4920371865913906e-06,9.644540999549588e-06,-1.1405396881285798e-05,3.440476859752447e-05,3.5794217375174782e-06,1.4173305582553646e-06,3.193950996510445e-07,-5.179142896717762e-07,9.233489688640568e-06,-1.9196944000741333e-05,1.506713118697577e-06,-9.513043531206062e-08,-4.32373971549825e-07,2.0940066623047743e-06,-5.098027455748574e-06,3.891020088706186e-05,1.6292353415671385e-05,7.2978450951051e-06,-8.902676149046307e-06,2.697956115726763e-05,3.4524450499713554e-06,3.808726939641749e-05,4.743133315623386e-05,-8.850403710960198e-05,0.0010573584994632843
2017-04-10,1.874384851768338e-05,1.823990108220096e-05,-4.299473598162111e-06,-1.5823193754433146e-06,7.583961706251893e-06,1.0684885558434037e-05,-1.2538240940121576e-05,4.687353234105082e-05,3.998869508629925e-05,-2.773526896051456e-06,-1.854424140108806e-07,-2.4304682286522e-06,9.713799264091406e-06,-1.0232210217078631e-05,3.077594765736541e-05,3.347040122157724e-06,1.3521964456960602e-06,4.1546047706386223e-07,-3.6779027769878443e-07,9.469100805173332e-06,-1.9631772783391504e-05,1.535141657155482e-06,1.8362067678171513e-07,-3.765614311140466e-07,2.435923818364572e-06,-6.078738813407961e-06,4.0228866650195085e-05,1.6304377969217948e-05,8.688567725735393e-06,-1.3355585881053438e-05,2.6886618048758767e-05,3.3813959302479848e-06,3.8115516601733664e-05,4.882270751110263e-05,-9.313831613260646e-05,0.0010723442719790819
