Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__US_EQUITY,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_EQUITY,cov_US_BONDS__INTL_EQUITY,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__US_EQUITY,cov_INTL_BONDS__INTL_EQUITY,cov_INTL_BONDS__US_BONDS,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_EQUITY,cov_US_REIT__INTL_EQUITY,cov_US_REIT__US_BONDS,cov_US_REIT__INTL_BONDS,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__US_EQUITY,cov_INTL_REIT__INTL_EQUITY,cov_INTL_REIT__US_BONDS,cov_INTL_REIT__INTL_BONDS,cov_INTL_REIT__US_REIT,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__US_EQUITY,cov_GOLD__INTL_EQUITY,cov_GOLD__US_BONDS,cov_GOLD__INTL_BONDS,cov_GOLD__US_REIT,cov_GOLD__INTL_REIT,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__US_EQUITY,cov_BTC__INTL_EQUITY,cov_BTC__US_BONDS,cov_BTC__INTL_BONDS,cov_BTC__US_REIT,cov_BTC__INTL_REIT,cov_BTC__GOLD,cov_BTC__BTC
2021-01-04,9.550907e-05,6.556369e-05,-2.8378e-06,-2.3869923e-06,5.429961e-05,4.6341913e-05,-6.4264977e-06,1.5597916e-05,6.556369e-05,6.6112676e-05,-2.323726e-06,-1.8924097e-06,3.5412595e-05,4.412691e-05,3.128781e-06,2.5395791e-05,-2.8378e-06,-2.323726e-06,3.224692e-06,1.6648778e-06,3.12079e-06,6.644715e-07,5.1359925e-06,-1.1501073e-06,-2.3869923e-06,-1.8924097e-06,1.6648778e-06,3.7662912e-06,2.0658356e-06,-3.2481987e-07,2.275907e-06,-4.389488e-06,5.429961e-05,3.5412595e-05,3.12079e-06,2.0658356e-06,8.942117e-05,3.310816e-05,8.0442044e-07,-1.1657079e-05,4.6341913e-05,4.412691e-05,6.644715e-07,-3.2481987e-07,3.310816e-05,4.7912927e-05,7.5212533e-06,2.0703654e-05,-6.4264977e-06,3.128781e-06,5.1359925e-06,2.275907e-06,8.0442044e-07,7.5212533e-06,4.3854427e-05,1.9723964e-05,1.5597916e-05,2.5395791e-05,-1.1501073e-06,-4.389488e-06,-1.1657079e-05,2.0703654e-05,1.9723964e-05,0.001598114
2021-01-05,9.573751e-05,6.57177e-05,-2.8322938e-06,-2.3884672e-06,5.4543736e-05,4.6448367e-05,-6.4122405e-06,1.583582e-05,6.57177e-05,6.632185e-05,-2.3292646e-06,-1.8907801e-06,3.5536897e-05,4.4224802e-05,3.1385498e-06,2.5291865e-05,-2.8322938e-06,-2.3292646e-06,3.223167e-06,1.6649506e-06,3.124027e-06,6.6304875e-07,5.136306e-06,-1.1246196e-06,-2.3884672e-06,-1.8907801e-06,1.6649506e-06,3.7630457e-06,2.065598e-06,-3.2419106e-07,2.276218e-06,-4.393428e-06,5.4543736e-05,3.5536897e-05,3.124027e-06,2.065598e-06,8.9800065e-05,3.3274417e-05,8.2561075e-07,-1.1167562e-05,4.6448367e-05,4.4224802e-05,6.6304875e-07,-3.2419106e-07,3.3274417e-05,4.799321e-05,7.541079e-06,2.0837895e-05,-6.4122405e-06,3.1385498e-06,5.136306e-06,2.276218e-06,8.2561075e-07,7.541079e-06,4.3904547e-05,1.9969666e-05,1.583582e-05,2.5291865e-05,-1.1246196e-06,-4.393428e-06,-1.1167562e-05,2.0837895e-05,1.9969666e-05,0.0015710547
2021-01-06,9.595015e-05,6.586728e-05,-2.8272832e-06,-2.38976e-06,5.4770964e-05,4.6551773e-05,-6.3970792e-06,1.6073773e-05,6.586728e-05,6.651552e-05,-2.334371e-06,-1.8896294e-06,3.566115e-05,4.432097e-05,3.1494026e-06,2.5170986e-05,-2.8272832e-06,-2.334371e-06,3.2216785e-06,1.6649855e-06,3.126102e-06,6.6129564e-07,5.136465e-06,-1.0959429e-06,-2.38976e-06,-1.8896294e-06,1.6649855e-06,3.7599132e-06,2.0651441e-06,-3.2390216e-07,2.2765253e-06,-4.395138e-06,5.4770964e-05,3.566115e-05,3.126102e-06,2.0651441e-06,9.014526e-05,3.3430173e-05,8.456024e-07,-1.0728108e-05,4.6551773e-05,4.432097e-05,6.6129564e-07,-3.2390216e-07,3.3430173e-05,4.807647e-05,7.560018e-06,2.0977463e-05,-6.3970792e-06,3.1494026e-06,5.136465e-06,2.2765253e-06,8.456024e-07,7.560018e-06,4.395224e-05,2.0198626e-05,1.6073773e-05,2.5170986e-05,-1.0959429e-06,-4.395138e-06,-1.0728108e-05,2.0977463e-05,2.0198626e-05,0.0015484205
2021-01-07,9.614644e-05,6.601089e-05,-2.8227755e-06,-2.3909085e-06,5.498084e-05,4.66506e-05,-6.3814123e-06,1.6311724e-05,6.601089e-05,6.669493e-05,-2.3388452e-06,-1.8890048e-06,3.5785237e-05,4.441563e-05,3.1610678e-06,2.5041985e-05,-2.8227755e-06,-2.3388452e-06,3.2206392e-06,1.6649925e-06,3.1272548e-06,6.5946864e-07,5.136595e-06,-1.065665e-06,-2.3909085e-06,-1.8890048e-06,1.6649925e-06,3.7569553e-06,2.0645045e-06,-3.2389022e-07,2.2768454e-06,-4.3948976e-06,5.498084e-05,3.5785237e-05,3.1272548e-06,2.0645045e-06,9.0458634e-05,3.3575678e-05,8.6404145e-07,-1.0366663e-05,4.66506e-05,4.441563e-05,6.5946864e-07,-3.2389022e-07,3.3575678e-05,4.8161863e-05,7.5778808e-06,2.1119766e-05,-6.3814123e-06,3.1610678e-06,5.136595e-06,2.2768454e-06,8.6404145e-07,7.5778808e-06,4.3997057e-05,2.0409876e-05,1.6311724e-05,2.5041985e-05,-1.065665e-06,-4.3948976e-06,-1.0366663e-05,2.1119766e-05,2.0409876e-05,0.0015298998
2021-01-08,9.632661e-05,6.6147666e-05,-2.8187446e-06,-2.3919627e-06,5.517568e-05,4.6745907e-05,-6.365799e-06,1.6548862e-05,6.6147666e-05,6.686133e-05,-2.3427447e-06,-1.8888834e-06,3.590502e-05,4.4508073e-05,3.1734853e-06,2.4912371e-05,-2.8187446e-06,-2.3427447e-06,3.219607e-06,1.6649117e-06,3.1277068e-06,6.575257e-07,5.1364786e-06,-1.0347621e-06,-2.3919627e-06,-1.8888834e-06,1.6649117e-06,3.7541663e-06,2.0636867e-06,-3.240699e-07,2.2771517e-06,-4.393438e-06,5.517568e-05,3.590502e-05,3.1277068e-06,2.0636867e-06,9.0740774e-05,3.3711756e-05,8.808663e-07,-1.0089813e-05,4.6745907e-05,4.4508073e-05,6.575257e-07,-3.240699e-07,3.3711756e-05,4.824816e-05,7.5942257e-06,2.1263026e-05,-6.365799e-06,3.1734853e-06,5.1364786e-06,2.2771517e-06,8.808663e-07,7.5942257e-06,4.4039836e-05,2.0604419e-05,1.6548862e-05,2.4912371e-05,-1.0347621e-06,-4.393438e-06,-1.0089813e-05,2.1263026e-05,2.0604419e-05,0.0015151356
2021-01-11,9.649177e-05,6.627619e-05,-2.815266e-06,-2.3928894e-06,5.5353845e-05,4.6836936e-05,-6.3504785e-06,1.6778888e-05,6.627619e-05,6.701351e-05,-2.3462471e-06,-1.8892564e-06,3.602096e-05,4.459751e-05,3.186277e-06,2.4785451e-05,-2.815266e-06,-2.3462471e-06,3.2188957e-06,1.6647865e-06,3.1271904e-06,6.555124e-07,5.1363145e-06,-1.0026611e-06,-2.3928894e-06,-1.8892564e-06,1.6647865e-06,3.7514808e-06,2.062764e-06,-3.2446877e-07,2.2773775e-06,-4.390762e-06,5.5353845e-05,3.602096e-05,3.1271904e-06,2.062764e-06,9.0990456e-05,3.383799e-05,8.9581556e-07,-9.880975e-06,4.6836936e-05,4.459751e-05,6.555124e-07,-3.2446877e-07,3.383799e-05,4.833412e-05,7.609167e-06,2.1404698e-05,-6.3504785e-06,3.186277e-06,5.1363145e-06,2.2773775e-06,8.9581556e-07,7.609167e-06,4.4079883e-05,2.0782074e-05,1.6778888e-05,2.4785451e-05,-1.0026611e-06,-4.390762e-06,-9.880975e-06,2.1404698e-05,2.0782074e-05,0.0015040147
2021-01-12,9.6640586e-05,6.639873e-05,-2.812356e-06,-2.393672e-06,5.551463e-05,4.6926645e-05,-6.335979e-06,1.7019509e-05,6.639873e-05,6.715716e-05,-2.3491857e-06,-1.8906492e-06,3.6136902e-05,4.4685992e-05,3.1993723e-06,2.4656227e-05,-2.812356e-06,-2.3491857e-06,3.2185878e-06,1.6646675e-06,3.1250893e-06,6.536709e-07,5.1361544e-06,-9.685231e-07,-2.393672e-06,-1.8906492e-06,1.6646675e-06,3.748803e-06,2.0618202e-06,-3.252638e-07,2.2773766e-06,-4.38614e-06,5.551463e-05,3.6136902e-05,3.1250893e-06,2.0618202e-06,9.1203925e-05,3.395969e-05,9.090187e-07,-9.723855e-06,4.6926645e-05,4.4685992e-05,6.536709e-07,-3.252638e-07,3.395969e-05,4.8427344e-05,7.622331e-06,2.1551301e-05,-6.335979e-06,3.1993723e-06,5.1361544e-06,2.2773766e-06,9.090187e-07,7.622331e-06,4.4118948e-05,2.0944808e-05,1.7019509e-05,2.4656227e-05,-9.685231e-07,-4.38614e-06,-9.723855e-06,2.1551301e-05,2.0944808e-05,0.0014973686
2021-01-13,9.65388e-05,6.6397755e-05,-2.8173777e-06,-2.3918951e-06,5.5407596e-05,4.6916335e-05,-6.3273073e-06,1.7143664e-05,6.6397755e-05,6.706213e-05,-2.345172e-06,-1.8962814e-06,3.6179354e-05,4.4706976e-05,3.215135e-06,2.4434616e-05,-2.8173777e-06,-2.345172e-06,3.2201385e-06,1.6637357e-06,3.1138443e-06,6.5176835e-07,5.1346656e-06,-9.381781e-07,-2.3918951e-06,-1.8962814e-06,1.6637357e-06,3.7504003e-06,2.059464e-06,-3.2923913e-07,2.2776894e-06,-4.360255e-06,5.5407596e-05,3.6179354e-05,3.1138443e-06,2.059464e-06,9.09624e-05,3.390988e-05,9.057216e-07,-1.0194883e-05,4.6916335e-05,4.4706976e-05,6.5176835e-07,-3.2923913e-07,3.390988e-05,4.8494367e-05,7.617952e-06,2.1684931e-05,-6.3273073e-06,3.215135e-06,5.1346656e-06,2.2776894e-06,9.057216e-07,7.617952e-06,4.410795e-05,2.0856593e-05,1.7143664e-05,2.4434616e-05,-9.381781e-07,-4.360255e-06,-1.0194883e-05,2.1684931e-05,2.0856593e-05,0.001542763
2021-01-14,9.6428994e-05,6.6389046e-05,-2.8225254e-06,-2.3902512e-06,5.529089e-05,4.6901157e-05,-6.3195193e-06,1.723694e-05,6.6389046e-05,6.695749e-05,-2.3407665e-06,-1.9017108e-06,3.6216807e-05,4.4722605e-05,3.228679e-06,2.4243822e-05,-2.8225254e-06,-2.3407665e-06,3.2212872e-06,1.6628857e-06,3.103057e-06,6.499665e-07,5.1335915e-06,-9.114275e-07,-2.3902512e-06,-1.9017108e-06,1.6628857e-06,3.7520476e-06,2.057459e-06,-3.3299838e-07,2.2781137e-06,-4.3351884e-06,5.529089e-05,3.6216807e-05,3.103057e-06,2.057459e-06,9.070875e-05,3.3850647e-05,9.0123154e-07,-1.0656139e-05,4.6901157e-05,4.4722605e-05,6.499665e-07,-3.3299838e-07,3.3850647e-05,4.8550482e-05,7.612587e-06,2.179567e-05,-6.3195193e-06,3.228679e-06,5.1335915e-06,2.2781137e-06,9.0123154e-07,7.612587e-06,4.4092645e-05,2.0754753e-05,1.723694e-05,2.4243822e-05,-9.114275e-07,-4.3351884e-06,-1.0656139e-05,2.179567e-05,2.0754753e-05,0.0015872068
2021-01-15,9.630514e-05,6.636599e-05,-2.8277168e-06,-2.3885889e-06,5.5164717e-05,4.68825e-05,-6.313244e-06,1.7300405e-05,6.636599e-05,6.684057e-05,-2.3360535e-06,-1.9070133e-06,3.6242414e-05,4.4727283e-05,3.240771e-06,2.4074956e-05,-2.8277168e-06,-2.3360535e-06,3.2226314e-06,1.6622316e-06,3.0924787e-06,6.481382e-07,5.1323013e-06,-8.868128e-07,-2.3885889e-06,-1.9070133e-06,1.6622316e-06,3.7535037e-06,2.0555945e-06,-3.3650815e-07,2.278392e-06,-4.3112136e-06,5.5164717e-05,3.6242414e-05,3.0924787e-06,2.0555945e-06,9.0431735e-05,3.377898e-05,8.954831e-07,-1.10904275e-05,4.68825e-05,4.4727283e-05,6.481382e-07,-3.3650815e-07,3.377898e-05,4.859438e-05,7.6062784e-06,2.1891741e-05,-6.313244e-06,3.240771e-06,5.1323013e-06,2.278392e-06,8.954831e-07,7.6062784e-06,4.4072716e-05,2.0632147e-05,1.7300405e-05,2.4074956e-05,-8.868128e-07,-4.3112136e-06,-1.10904275e-05,2.1891741e-05,2.0632147e-05,0.0016311341
