Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__US_EQUITY,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_EQUITY,cov_US_BONDS__INTL_EQUITY,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__US_EQUITY,cov_INTL_BONDS__INTL_EQUITY,cov_INTL_BONDS__US_BONDS,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_EQUITY,cov_US_REIT__INTL_EQUITY,cov_US_REIT__US_BONDS,cov_US_REIT__INTL_BONDS,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__US_EQUITY,cov_INTL_REIT__INTL_EQUITY,cov_INTL_REIT__US_BONDS,cov_INTL_REIT__INTL_BONDS,cov_INTL_REIT__US_REIT,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__US_EQUITY,cov_GOLD__INTL_EQUITY,cov_GOLD__US_BONDS,cov_GOLD__INTL_BONDS,cov_GOLD__US_REIT,cov_GOLD__INTL_REIT,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__US_EQUITY,cov_BTC__INTL_EQUITY,cov_BTC__US_BONDS,cov_BTC__INTL_BONDS,cov_BTC__US_REIT,cov_BTC__INTL_REIT,cov_BTC__GOLD,cov_BTC__BTC
2021-01-04,7.163879823629806e-05,6.332249359440385e-05,1.2564790842044876e-06,-1.2029069416327025e-06,6.52973310939e-05,5.594905989446783e-05,2.2692534981145588e-05,0.00029627461277691663,6.332249359440385e-05,0.0001032616201214053,-8.943693330533993e-07,-2.690971838614677e-06,6.876520318267608e-05,8.716390233181858e-05,2.0002576495181768e-05,0.00023899612720915334,1.2564790842044876e-06,-8.943693330533993e-07,2.415823630049208e-06,1.1668764791617116e-06,1.3137868421925619e-06,1.7277832536406471e-06,3.455393802725079e-06,9.655923652533604e-06,-1.2029069416327025e-06,-2.690971838614677e-06,1.1668764791617116e-06,1.3088001366214655e-06,-1.4301488808800881e-06,-1.8318865767657224e-06,1.7447507687142651e-06,-1.3019419253863306e-06,6.52973310939e-05,6.876520318267608e-05,1.3137868421925619e-06,-1.4301488808800881e-06,0.00013772457833696188,8.227676770457744e-05,2.6434581913525468e-05,0.00023525337383217961,5.594905989446783e-05,8.716390233181858e-05,1.7277832536406471e-06,-1.8318865767657224e-06,8.227676770457744e-05,0.00011410914920658123,2.2944907561814355e-05,0.00021907677763498265,2.2692534981145588e-05,2.0002576495181768e-05,3.455393802725079e-06,1.7447507687142651e-06,2.6434581913525468e-05,2.2944907561814355e-05,8.25622463159457e-05,0.0004694950098926207,0.00029627461277691663,0.00023899612720915334,9.655923652533604e-06,-1.3019419253863306e-06,0.00023525337383217961,0.00021907677763498265,0.0004694950098926207,0.01762995788101564
2021-01-05,0.00010340951739313936,7.442273006818582e-05,1.7174871859098322e-06,-1.4407335520896474e-06,8.664393449093643e-05,6.942819006342243e-05,2.4108844732879265e-05,0.0003329965099824092,7.442273006818582e-05,0.00010285409109491555,-1.142204925553821e-06,-2.8225860162074104e-06,7.124370170797853e-05,8.77594350036142e-05,2.116324677564235e-05,0.000265311120980782,1.7174871859098322e-06,-1.142204925553821e-06,2.6313941647156996e-06,1.2328914863065951e-06,2.063201548050579e-06,1.8440931055193398e-06,3.426566994447927e-06,7.254650775327147e-06,-1.4407335520896474e-06,-2.8225860162074104e-06,1.2328914863065951e-06,1.337711554795418e-06,-1.4220041637450295e-06,-1.921235419416453e-06,1.7193946848239354e-06,-1.7575735567446812e-06,8.664393449093643e-05,7.124370170797853e-05,2.063201548050579e-06,-1.4220041637450295e-06,0.00015953125328688482,9.263651053391556e-05,2.2490779965741512e-05,0.0002069590553361626,6.942819006342243e-05,8.77594350036142e-05,1.8440931055193398e-06,-1.921235419416453e-06,9.263651053391556e-05,0.00011887465204484496,2.226782281297328e-05,0.00022133093407352263,2.4108844732879265e-05,2.116324677564235e-05,3.426566994447927e-06,1.7193946848239354e-06,2.2490779965741512e-05,2.226782281297328e-05,9.294739229831277e-05,0.000557392038629217,0.0003329965099824092,0.000265311120980782,7.254650775327147e-06,-1.7575735567446812e-06,0.0002069590553361626,0.00022133093407352263,0.000557392038629217,0.01985676034911711
2021-01-06,0.00010074143849262072,7.531869610175022e-05,1.636217755900023e-06,-1.5785866651148666e-06,8.402285456889677e-05,6.937231792585604e-05,2.2991555453221772e-05,0.0002921442283044011,7.531869610175022e-05,0.00010848099017598272,-1.2897411649439688e-06,-3.169834310047871e-06,7.148554791731976e-05,9.156426763488881e-05,2.1126302775284002e-05,0.00025013375398823235,1.636217755900023e-06,-1.2897411649439688e-06,2.657737614605607e-06,1.3612984943169566e-06,2.048191199227558e-06,1.6786324352763033e-06,3.293261570468015e-06,5.619223437837267e-06,-1.5785866651148666e-06,-3.169834310047871e-06,1.3612984943169566e-06,1.596509423471087e-06,-1.4349372055110124e-06,-2.2432683421859728e-06,1.7997638069944018e-06,-3.525147369128807e-06,8.402285456889677e-05,7.148554791731976e-05,2.048191199227558e-06,-1.4349372055110124e-06,0.00015573860451596725,9.17080334217985e-05,2.125285614536112e-05,0.00017592479820853195,6.937231792585604e-05,9.156426763488881e-05,1.6786324352763033e-06,-2.2432683421859728e-06,9.17080334217985e-05,0.00012175900156697233,2.1765749953570178e-05,0.0002066912643946058,2.2991555453221772e-05,2.1126302775284002e-05,3.293261570468015e-06,1.7997638069944018e-06,2.125285614536112e-05,2.1765749953570178e-05,8.736577500525896e-05,0.00046278098026094017,0.0002921442283044011,0.00025013375398823235,5.619223437837267e-06,-3.525147369128807e-06,0.00017592479820853195,0.0002066912643946058,0.00046278098026094017,0.014576184850290334
2021-01-07,9.61832716413815e-05,7.31392547019673e-05,1.0741666305836238e-06,-1.5457237690920824e-06,8.09031492552348e-05,6.742260653148319e-05,2.2215038402471937e-05,0.0002710725852365465,7.31392547019673e-05,0.00010711460452720301,-2.1592270607919075e-06,-3.158423193909965e-06,6.960874543894006e-05,9.032566833611815e-05,2.0025254454147713e-05,0.00023791262885845235,1.0741666305836238e-06,-2.1592270607919075e-06,3.186903602671335e-06,1.5152516946313356e-06,1.0611719330495055e-06,1.2210645216436796e-06,4.754644598815453e-06,3.282153009255698e-06,-1.5457237690920824e-06,-3.158423193909965e-06,1.5152516946313356e-06,1.5757109902763765e-06,-1.3303392157166602e-06,-2.114255446220834e-06,2.0283184614919865e-06,-4.1797115566216315e-06,8.09031492552348e-05,6.960874543894006e-05,1.0611719330495055e-06,-1.3303392157166602e-06,0.00015195037847058488,8.989087192614491e-05,2.1194402202395935e-05,0.00015319889176384097,6.742260653148319e-05,9.032566833611815e-05,1.2210645216436796e-06,-2.114255446220834e-06,8.989087192614491e-05,0.00012094377287164358,2.1732157664179636e-05,0.00018443132483040252,2.2215038402471937e-05,2.0025254454147713e-05,4.754644598815453e-06,2.0283184614919865e-06,2.1194402202395935e-05,2.1732157664179636e-05,9.408983082836635e-05,0.00042730492370086004,0.0002710725852365465,0.00023791262885845235,3.282153009255698e-06,-4.1797115566216315e-06,0.00015319889176384097,0.00018443132483040252,0.00042730492370086004,0.012943976529799693
2021-01-08,0.00011858582059411023,7.898857363955244e-05,9.613124944031318e-07,-1.7617172211239833e-06,8.864637401795194e-05,7.174921788330749e-05,2.3421170264587922e-05,0.0002688421755469141,7.898857363955244e-05,0.00010254769646314955,-2.1440846740505387e-06,-3.0709581552281583e-06,6.73497561606215e-05,8.751206213243198e-05,1.9031430692744047e-05,0.00020133541276060648,9.613124944031318e-07,-2.1440846740505387e-06,3.0947199386215412e-06,1.4625248928655218e-06,9.137648192318356e-07,1.2472023267166154e-06,4.566887589904602e-06,2.4251710284832798e-06,-1.7617172211239833e-06,-3.0709581552281583e-06,1.4625248928655218e-06,1.5131804375096526e-06,-1.3603393533523151e-06,-2.034562612577941e-06,1.9377943950251577e-06,-4.606486710666906e-06,8.864637401795194e-05,6.73497561606215e-05,9.137648192318356e-07,-1.3603393533523151e-06,0.00014833837037655422,8.804332033591242e-05,1.9937085620084436e-05,0.0001288317287349687,7.174921788330749e-05,8.751206213243198e-05,1.2472023267166154e-06,-2.034562612577941e-06,8.804332033591242e-05,0.000120105117392977,2.1272493272640882e-05,0.00014894859278573801,2.3421170264587922e-05,1.9031430692744047e-05,4.566887589904602e-06,1.9377943950251577e-06,1.9937085620084436e-05,2.1272493272640882e-05,9.031074378383951e-05,0.0003608969970649785,0.0002688421755469141,0.00020133541276060648,2.4251710284832798e-06,-4.606486710666906e-06,0.0001288317287349687,0.00014894859278573801,0.0003608969970649785,0.009930480044541338
2021-01-11,0.00011046380755828949,7.545027741043968e-05,8.234051134664643e-07,-1.636979744222816e-06,8.624710306274987e-05,6.908622599721525e-05,2.3058875121405455e-05,0.00023280915944705894,7.545027741043968e-05,0.00010060787264340561,-2.2391613834761662e-06,-2.9613195958420926e-06,6.738384602137935e-05,8.647157748535215e-05,1.8336920202400375e-05,0.0001773894477282093,8.234051134664643e-07,-2.2391613834761662e-06,3.080653957481209e-06,1.415831612831074e-06,9.323802298111783e-07,1.1984482374440964e-06,5.122460834510277e-06,2.166458180736306e-06,-1.636979744222816e-06,-2.9613195958420926e-06,1.415831612831074e-06,1.4190373780078056e-06,-1.3562521072408507e-06,-1.984639880191045e-06,1.9916579183628574e-06,-4.6460080171429925e-06,8.624710306274987e-05,6.738384602137935e-05,9.323802298111783e-07,-1.3562521072408507e-06,0.0001469143492990755,8.765452406957886e-05,1.960000682940232e-05,0.0001101777326586028,6.908622599721525e-05,8.647157748535215e-05,1.1984482374440964e-06,-1.984639880191045e-06,8.765452406957886e-05,0.00011928130714250063,2.1897017400238643e-05,0.00013201879396509337,2.3058875121405455e-05,1.8336920202400375e-05,5.122460834510277e-06,1.9916579183628574e-06,1.960000682940232e-05,2.1897017400238643e-05,0.00011065927433587619,0.000332405649590914,0.00023280915944705894,0.0001773894477282093,2.166458180736306e-06,-4.6460080171429925e-06,0.0001101777326586028,0.00013201879396509337,0.000332405649590914,0.007823495837340556
2021-01-12,0.00010581512648924272,7.475772282595057e-05,8.827535166199519e-07,-1.5127418692263423e-06,8.484913920964834e-05,6.790313855226085e-05,2.2117539408414296e-05,0.00029120054334779387,7.475772282595057e-05,0.0001026046211557262,-2.018353601493555e-06,-2.8071176047329436e-06,6.892602828745269e-05,8.779885142176422e-05,1.8100937660973015e-05,0.0002509285900615184,8.827535166199519e-07,-2.018353601493555e-06,2.9553828761197436e-06,1.4309872485113445e-06,1.0624124875679827e-06,1.3499917727753824e-06,4.88850194124437e-06,5.667816775570044e-06,-1.5127418692263423e-06,-2.8071176047329436e-06,1.4309872485113445e-06,1.4997537981488907e-06,-1.1717443217018086e-06,-1.7459518801607624e-06,1.9258739548697976e-06,-9.468151440749521e-07,8.484913920964834e-05,6.892602828745269e-05,1.0624124875679827e-06,-1.1717443217018086e-06,0.0001472753597250623,8.842572138890474e-05,1.9112282812910222e-05,0.0001736489240397308,6.790313855226085e-05,8.779885142176422e-05,1.3499917727753824e-06,-1.7459518801607624e-06,8.842572138890474e-05,0.0001193126331872352,2.147373868535035e-05,0.00019851760169931767,2.2117539408414296e-05,1.8100937660973015e-05,4.88850194124437e-06,1.9258739548697976e-06,1.9112282812910222e-05,2.147373868535035e-05,0.00010611976702299704,0.000394030715844313,0.00029120054334779387,0.0002509285900615184,5.667816775570044e-06,-9.468151440749521e-07,0.0001736489240397308,0.00019851760169931767,0.000394030715844313,0.011810079235735656
2021-01-13,9.745395365277825e-05,7.025095321747315e-05,7.652551499404413e-07,-1.488992932263174e-06,8.051545465241353e-05,6.418612316657611e-05,2.0816059808658543e-05,0.00018505093305161893,7.025095321747315e-05,9.886031828748923e-05,-1.963147225435058e-06,-2.8399321615563852e-06,6.713344876810583e-05,8.529129186398541e-05,1.7786386370576526e-05,0.00016234697420484994,7.652551499404413e-07,-1.963147225435058e-06,2.818553437717421e-06,1.3806363557088878e-06,8.819356453359794e-07,1.2319517376851027e-06,4.731704088637566e-06,5.710312864224609e-06,-1.488992932263174e-06,-2.8399321615563852e-06,1.3806363557088878e-06,1.5189179484860727e-06,-1.3429253617950712e-06,-1.841883534911259e-06,1.728216492925947e-06,-9.236733596084243e-07,8.051545465241353e-05,6.713344876810583e-05,8.819356453359794e-07,-1.3429253617950712e-06,0.0001440695923013788,8.634977305940906e-05,1.7615793967091146e-05,9.987452679258449e-05,6.418612316657611e-05,8.529129186398541e-05,1.2319517376851027e-06,-1.841883534911259e-06,8.634977305940906e-05,0.00011660617568616542,2.080194043920318e-05,0.00014040321601013875,2.0816059808658543e-05,1.7786386370576526e-05,4.731704088637566e-06,1.728216492925947e-06,1.7615793967091146e-05,2.080194043920318e-05,0.00010554227997047288,0.0002561460772963395,0.00018505093305161893,0.00016234697420484994,5.710312864224609e-06,-9.236733596084243e-07,9.987452679258449e-05,0.00014040321601013875,0.0002561460772963395,0.006131541186291096
2021-01-14,9.275369866096091e-05,6.687190147312429e-05,9.699156802645048e-07,-1.296422957924278e-06,7.800128076992814e-05,6.139845834520491e-05,2.084676909959512e-05,0.0001838443689092541,6.687190147312429e-05,9.535307373839296e-05,-1.8826750235214258e-06,-2.7549248127303363e-06,6.512886236802107e-05,8.28558035422859e-05,1.7787771608198015e-05,0.00015751461851547054,9.699156802645048e-07,-1.8826750235214258e-06,2.9027331545035695e-06,1.4051966386140671e-06,1.2803575298908182e-06,1.3709186619647732e-06,4.5269472559242525e-06,8.891807706999256e-06,-1.296422957924278e-06,-2.7549248127303363e-06,1.4051966386140671e-06,1.4838007381754968e-06,-9.908703411945283e-07,-1.7419022602418651e-06,1.5184991095433174e-06,1.1230007620106145e-06,7.800128076992814e-05,6.512886236802107e-05,1.2803575298908182e-06,-9.908703411945283e-07,0.0001432629845867089,8.486122194223796e-05,1.7213919957341794e-05,0.00010690794964991391,6.139845834520491e-05,8.28558035422859e-05,1.3709186619647732e-06,-1.7419022602418651e-06,8.486122194223796e-05,0.00011442209480284178,2.104512148047106e-05,0.00014300979713103375,2.084676909959512e-05,1.7787771608198015e-05,4.5269472559242525e-06,1.5184991095433174e-06,1.7213919957341794e-05,2.104512148047106e-05,0.00010258558505190943,0.0002508918747314498,0.0001838443689092541,0.00015751461851547054,8.891807706999256e-06,1.1230007620106145e-06,0.00010690794964991391,0.00014300979713103375,0.0002508918747314498,0.006062042802748614
2021-01-15,8.913881265401827e-05,6.410577620286032e-05,1.0640154963657835e-06,-1.3085526520548291e-06,7.493420861100923e-05,5.930497644144914e-05,1.9927865094545178e-05,0.00017059863042323642,6.410577620286032e-05,9.295604948220271e-05,-1.9218848655656798e-06,-2.8864888639492742e-06,6.331050182188568e-05,8.168754367708621e-05,1.7175195912451986e-05,0.00015108688133299485,1.0640154963657835e-06,-1.9218848655656798e-06,2.972939509656405e-06,1.4551091102122845e-06,1.2453816615718902e-06,1.293916579673776e-06,4.421851540115089e-06,8.091348383633542e-06,-1.3085526520548291e-06,-2.8864888639492742e-06,1.4551091102122845e-06,1.536547627860533e-06,-1.1141589064987661e-06,-1.872005107809509e-06,1.5605418734387538e-06,1.1953517360478408e-07,7.493420861100923e-05,6.331050182188568e-05,1.2453816615718902e-06,-1.1141589064987661e-06,0.00013931855789612048,8.346807171698293e-05,1.6503172177162706e-05,0.00010039898928231596,5.930497644144914e-05,8.168754367708621e-05,1.293916579673776e-06,-1.872005107809509e-06,8.346807171698293e-05,0.00011380771229490572,2.0265731158772216e-05,0.00014185518386591604,1.9927865094545178e-05,1.7175195912451986e-05,4.421851540115089e-06,1.5605418734387538e-06,1.6503172177162706e-05,2.0265731158772216e-05,9.581336231696962e-05,0.0002361928505544292,0.00017059863042323642,0.00015108688133299485,8.091348383633542e-06,1.1953517360478408e-07,0.00010039898928231596,0.00014185518386591604,0.0002361928505544292,0.005690831776331053
