Date,const,lag5,lag21,lag63,coef_sum,train_start,train_end,n_rows,n_obs_stacked
2021-01-04,3.977367291344682e-05,0.08539086285675608,0.09691582089749448,0.43407906522091766,0.6163857489751683,2017-06-27,2020-12-02,866,55424
2021-01-05,3.976326435051561e-05,0.08555138247964586,0.09680535225868642,0.4338632557451825,0.6162199904835147,2017-06-28,2020-12-03,866,55424
2021-01-06,3.9763136896070846e-05,0.08576730053950458,0.09672315798362585,0.4335500300347185,0.616040488557849,2017-06-29,2020-12-04,866,55424
2021-01-07,3.976706960359669e-05,0.08591403559672625,0.09677060726444255,0.43318938653644745,0.6158740293976163,2017-06-30,2020-12-07,866,55424
2021-01-08,3.978171681334416e-05,0.08576473649889471,0.09709627106671587,0.43287598759481005,0.6157369951604206,2017-07-03,2020-12-08,866,55424
2021-01-11,3.979618696260528e-05,0.08559881889639989,0.09747476046374484,0.4325090934737629,0.6155826728339076,2017-07-05,2020-12-09,866,55424
2021-01-12,3.9830305945427734e-05,0.08560017579647944,0.09776032178935257,0.4321601869949094,0.6155206845807414,2017-07-06,2020-12-10,866,55424
2021-01-13,3.986428650245297e-05,0.08558607978434085,0.09818015401995167,0.43169125693056515,0.6154574907348577,2017-07-07,2020-12-11,866,55424
2021-01-14,3.991094343474987e-05,0.08549330683659734,0.09880165206164546,0.43112760450427584,0.6154225634025187,2017-07-10,2020-12-14,866,55424
2021-01-15,3.9951503320871456e-05,0.08550385713021358,0.09937909903631884,0.4303599406943826,0.615242896860915,2017-07-11,2020-12-15,866,55424
2021-01-19,3.999412576679023e-05,0.08535119953297166,0.10010232591931303,0.4296419119752387,0.6150954374275234,2017-07-12,2020-12-16,866,55424
2021-01-20,4.0023850310007104e-05,0.08545387704279403,0.10060089475811414,0.4288757465316615,0.6149305183325697,2017-07-13,2020-12-17,866,55424
2021-01-21,4.004743681993259e-05,0.0856194930529893,0.1010700836802472,0.42806165741754354,0.61475123415078,2017-07-14,2020-12-18,866,55424
2021-01-22,4.007990501567165e-05,0.08582015106967289,0.10170462588120806,0.42712231779590276,0.6146470947467837,2017-07-17,2020-12-21,866,55424
2021-01-25,4.0095972880526494e-05,0.08577548830724684,0.10283689112834264,0.4257576816117301,0.6143700610473196,2017-07-18,2020-12-22,866,55424
2021-01-26,4.011065891792197e-05,0.08595658770449097,0.10372479306418284,0.42440214260246445,0.6140835233711383,2017-07-19,2020-12-23,866,55424
2021-01-27,4.0131012664778384e-05,0.0857817516168305,0.10498632343622222,0.42300481333117346,0.6137728883842262,2017-07-20,2020-12-24,866,55424
2021-01-28,4.01663462944229e-05,0.08544801974161284,0.10641883414898495,0.421618654804646,0.6134855086952438,2017-07-21,2020-12-28,866,55424
2021-01-29,4.020581527961767e-05,0.08505141342944493,0.10746971686046936,0.4210851874037956,0.6136063176937099,2017-07-24,2020-12-29,866,55424
2021-02-01,4.024673457759393e-05,0.08475092079653546,0.10824175900985367,0.42076443350065884,0.613757113307048,2017-07-25,2020-12-30,866,55424
2021-02-02,4.028205116292321e-05,0.08459570277071968,0.10846471849003655,0.4208671504796607,0.6139275717404169,2017-07-26,2020-12-31,866,55424
2021-02-03,4.031779766533074e-05,0.08453201114227343,0.10859303850901356,0.4210688029212125,0.6141938525724995,2017-07-27,2021-01-04,866,55424
