Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__US_EQUITY,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_EQUITY,cov_US_BONDS__INTL_EQUITY,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__US_EQUITY,cov_INTL_BONDS__INTL_EQUITY,cov_INTL_BONDS__US_BONDS,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_EQUITY,cov_US_REIT__INTL_EQUITY,cov_US_REIT__US_BONDS,cov_US_REIT__INTL_BONDS,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__US_EQUITY,cov_INTL_REIT__INTL_EQUITY,cov_INTL_REIT__US_BONDS,cov_INTL_REIT__INTL_BONDS,cov_INTL_REIT__US_REIT,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__US_EQUITY,cov_GOLD__INTL_EQUITY,cov_GOLD__US_BONDS,cov_GOLD__INTL_BONDS,cov_GOLD__US_REIT,cov_GOLD__INTL_REIT,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__US_EQUITY,cov_BTC__INTL_EQUITY,cov_BTC__US_BONDS,cov_BTC__INTL_BONDS,cov_BTC__US_REIT,cov_BTC__INTL_REIT,cov_BTC__GOLD,cov_BTC__BTC
2021-01-04,9.010193237311063e-05,7.997158726616388e-05,4.007600324840308e-05,3.8611054565166384e-05,8.102069484402637e-05,7.367990399549295e-05,5.192524219615145e-05,9.536525978192279e-05,7.997158726616388e-05,9.480598133099552e-05,3.771661724326183e-05,3.6916245468121785e-05,7.58180567206365e-05,8.7935664976633e-05,4.658911300905806e-05,6.559036384695651e-05,4.007600324840308e-05,3.771661724326183e-05,4.130482942399381e-05,4.051305491306439e-05,3.889431726900141e-05,3.888806974060559e-05,4.1984452898123806e-05,4.743735532710149e-05,3.8611054565166384e-05,3.6916245468121785e-05,4.051305491306439e-05,4.072102675825887e-05,3.7784677849688634e-05,3.76617058274705e-05,4.119708528761238e-05,3.725224407765068e-05,8.102069484402637e-05,7.58180567206365e-05,3.889431726900141e-05,3.7784677849688634e-05,0.00010933318135019218,7.828690736750375e-05,4.7296312425710434e-05,8.248389879736552e-05,7.367990399549295e-05,8.7935664976633e-05,3.888806974060559e-05,3.76617058274705e-05,7.828690736750375e-05,9.943397566860287e-05,4.804431580442269e-05,8.359805765350523e-05,5.192524219615145e-05,4.658911300905806e-05,4.1984452898123806e-05,4.119708528761238e-05,4.7296312425710434e-05,4.804431580442269e-05,9.235610561797387e-05,8.35389571020863e-05,9.536525978192279e-05,6.559036384695651e-05,4.743735532710149e-05,3.725224407765068e-05,8.248389879736552e-05,8.359805765350523e-05,8.35389571020863e-05,0.0013633292251084988
2021-01-05,9.467648150071898e-05,7.788078367572633e-05,4.045233776377273e-05,3.874252852664328e-05,9.530989268028178e-05,7.749315245361417e-05,4.24913433759949e-05,5.4829188551485196e-05,7.788078367572633e-05,9.527378138965054e-05,3.7498040448502e-05,3.680997971116684e-05,7.13319925356413e-05,8.662205743926642e-05,4.9451978747843404e-05,7.762100813021965e-05,4.045233776377273e-05,3.7498040448502e-05,4.131216002580687e-05,4.0506246299683246e-05,4.0080761609854436e-05,3.918508088136675e-05,4.1121938709136276e-05,4.36255121914239e-05,3.874252852664328e-05,3.680997971116684e-05,4.0506246299683246e-05,4.07046410594326e-05,3.820328377853011e-05,3.7767931956944796e-05,4.07850897358676e-05,3.542666706940184e-05,9.530989268028178e-05,7.13319925356413e-05,4.0080761609854436e-05,3.820328377853011e-05,0.00014031876908802494,8.706350440993758e-05,2.4556485091057587e-05,-1.54210103333127e-05,7.749315245361417e-05,8.662205743926642e-05,3.918508088136675e-05,3.7767931956944796e-05,8.706350440993758e-05,0.00010184591907063557,4.175325763482787e-05,5.6427143728964935e-05,4.24913433759949e-05,4.9451978747843404e-05,4.1121938709136276e-05,4.07850897358676e-05,2.4556485091057587e-05,4.175325763482787e-05,0.00010687109756170645,0.000145441162951068,5.4829188551485196e-05,7.762100813021965e-05,4.36255121914239e-05,3.542666706940184e-05,-1.54210103333127e-05,5.6427143728964935e-05,0.000145441162951068,0.0016255977044068125
2021-01-06,9.255119768404576e-05,7.734380207219757e-05,4.0621768953877985e-05,3.873120710911121e-05,9.327665452224353e-05,7.939752955915754e-05,4.258022406513274e-05,4.437406721508691e-05,7.734380207219757e-05,9.706571440534531e-05,3.745545535546871e-05,3.651862047355937e-05,6.959074517388724e-05,9.131197736615209e-05,4.976754977177526e-05,8.225776064804947e-05,4.0621768953877985e-05,3.745545535546871e-05,4.12551781421477e-05,4.051364363837722e-05,4.0125573882449916e-05,3.8744536468161e-05,4.1136798329498713e-05,4.180323346633763e-05,3.873120710911121e-05,3.651862047355937e-05,4.051364363837722e-05,4.0738224221582025e-05,3.83361003319918e-05,3.7134008575718884e-05,4.06782928865315e-05,3.465701342481871e-05,9.327665452224353e-05,6.959074517388724e-05,4.0125573882449916e-05,3.83361003319918e-05,0.00013844128560961403,8.584661948678825e-05,2.4448803924801665e-05,-3.749929480382809e-05,7.939752955915754e-05,9.131197736615209e-05,3.8744536468161e-05,3.7134008575718884e-05,8.584661948678825e-05,0.00010913539910616208,4.236197737766318e-05,7.631706170350317e-05,4.258022406513274e-05,4.976754977177526e-05,4.1136798329498713e-05,4.06782928865315e-05,2.4448803924801665e-05,4.236197737766318e-05,0.00010630791680492082,0.0001542850169547472,4.437406721508691e-05,8.225776064804947e-05,4.180323346633763e-05,3.465701342481871e-05,-3.749929480382809e-05,7.631706170350317e-05,0.0001542850169547472,0.0014312448379347202
2021-01-07,9.175983068571971e-05,7.808856518683629e-05,3.9971313671023773e-05,3.8733202497885515e-05,9.172260639760887e-05,7.91756010996144e-05,3.871924370318863e-05,5.8287119722386945e-05,7.808856518683629e-05,9.852597557682326e-05,3.612357812652509e-05,3.619251025487396e-05,6.939231908312517e-05,8.983470369378119e-05,4.4051004405219654e-05,0.00010524841393705688,3.9971313671023773e-05,3.612357812652509e-05,4.191553567174866e-05,4.0632161242962646e-05,4.0443385383673845e-05,3.8794188375497806e-05,4.3403403619507274e-05,3.0072623561298234e-05,3.8733202497885515e-05,3.619251025487396e-05,4.0632161242962646e-05,4.072983703845241e-05,3.858204000616795e-05,3.696155636267864e-05,4.113239532268394e-05,3.250835477360964e-05,9.172260639760887e-05,6.939231908312517e-05,4.0443385383673845e-05,3.858204000616795e-05,0.00013605521708905203,8.67382500865174e-05,2.454431167087965e-05,-3.539067140342488e-05,7.91756010996144e-05,8.983470369378119e-05,3.8794188375497806e-05,3.696155636267864e-05,8.67382500865174e-05,0.00010735407194864156,4.169593272737503e-05,7.49252600345129e-05,3.871924370318863e-05,4.4051004405219654e-05,4.3403403619507274e-05,4.113239532268394e-05,2.454431167087965e-05,4.169593272737503e-05,0.00011206342049722785,0.00011585721613925615,5.8287119722386945e-05,0.00010524841393705688,3.0072623561298234e-05,3.250835477360964e-05,-3.539067140342488e-05,7.49252600345129e-05,0.00011585721613925615,0.0016037483894506554
2021-01-08,9.584656985419557e-05,7.771831675307867e-05,3.963565268226607e-05,3.868798089455839e-05,9.136353255528176e-05,7.429180717550547e-05,3.737195483763971e-05,8.477969294845854e-05,7.771831675307867e-05,9.785972013891326e-05,3.617024706261273e-05,3.626475981796998e-05,6.901219793187617e-05,8.902126461655767e-05,4.4279491738756174e-05,0.00010830955904330657,3.963565268226607e-05,3.617024706261273e-05,4.193895523851967e-05,4.0644018145343876e-05,4.0476281649097426e-05,3.9167402926504166e-05,4.333051199997159e-05,2.74419700208706e-05,3.868798089455839e-05,3.626475981796998e-05,4.0644018145343876e-05,4.073846510556083e-05,3.862799052175805e-05,3.7119052785081524e-05,4.108229808079469e-05,3.157841242978816e-05,9.136353255528176e-05,6.901219793187617e-05,4.0476281649097426e-05,3.862799052175805e-05,0.00013539216094989235,8.615134719636805e-05,2.4502138327136983e-05,-3.8680759609320034e-05,7.429180717550547e-05,8.902126461655767e-05,3.9167402926504166e-05,3.7119052785081524e-05,8.615134719636805e-05,0.0001106237588726456,4.286197147060998e-05,4.9929155279099714e-05,3.737195483763971e-05,4.4279491738756174e-05,4.333051199997159e-05,4.108229808079469e-05,2.4502138327136983e-05,4.286197147060998e-05,0.00011038392447575268,0.00010082659395151834,8.477969294845854e-05,0.00010830955904330657,2.74419700208706e-05,3.157841242978816e-05,-3.8680759609320034e-05,4.9929155279099714e-05,0.00010082659395151834,0.0016806748577254398
2021-01-11,9.562945490468384e-05,7.929651773702913e-05,3.930368111010467e-05,3.841729092763492e-05,9.101041036176541e-05,7.514884754994702e-05,3.1085886800743534e-05,8.924055710698251e-05,7.929651773702913e-05,9.845053603159901e-05,3.594523388125132e-05,3.646795562841973e-05,7.195322769756352e-05,8.934366969069067e-05,3.6634217236932716e-05,0.0001169168501638694,3.930368111010467e-05,3.594523388125132e-05,4.197176317377776e-05,4.0611251185402984e-05,3.9889533287981914e-05,3.9051352280681456e-05,4.440369320279717e-05,2.599266650233017e-05,3.841729092763492e-05,3.646795562841973e-05,4.0611251185402984e-05,4.0648582880663726e-05,3.8213221356494496e-05,3.724001204365327e-05,4.068384807790399e-05,3.179551903411653e-05,9.101041036176541e-05,7.195322769756352e-05,3.9889533287981914e-05,3.8213221356494496e-05,0.00013432075441491292,8.772120744604124e-05,1.3904451058750788e-05,-3.325231164535582e-05,7.514884754994702e-05,8.934366969069067e-05,3.9051352280681456e-05,3.724001204365327e-05,8.772120744604124e-05,0.00011078855555329268,3.87338372151378e-05,5.453075243641317e-05,3.1085886800743534e-05,3.6634217236932716e-05,4.440369320279717e-05,4.068384807790399e-05,1.3904451058750788e-05,3.87338372151378e-05,0.0001429225282524213,6.566335000153935e-05,8.924055710698251e-05,0.0001169168501638694,2.599266650233017e-05,3.179551903411653e-05,-3.325231164535582e-05,5.453075243641317e-05,6.566335000153935e-05,0.0017024809888796903
2021-01-12,9.269685196798796e-05,8.256194350713657e-05,3.926631376778377e-05,3.859214557416198e-05,8.544084758088922e-05,7.559117836986634e-05,3.535323196343206e-05,0.0001378911236887324,8.256194350713657e-05,0.00010307739151815052,3.6711979346623554e-05,3.717811374587803e-05,8.050532317842866e-05,9.617163555960809e-05,3.517308353801127e-05,0.0001624582720257059,3.926631376778377e-05,3.6711979346623554e-05,4.2043049473062356e-05,4.071549039001254e-05,3.9792016199817395e-05,3.9576848933735404e-05,4.492930631049081e-05,3.457786575899852e-05,3.859214557416198e-05,3.717811374587803e-05,4.071549039001254e-05,4.0758008596019274e-05,3.870441099471793e-05,3.797547340194029e-05,4.0928379173303295e-05,3.9606933213699696e-05,8.544084758088922e-05,8.050532317842866e-05,3.9792016199817395e-05,3.870441099471793e-05,0.00011929138266852177,8.831329008055319e-05,2.8613040155355978e-05,8.12724433857759e-05,7.559117836986634e-05,9.617163555960809e-05,3.9576848933735404e-05,3.797547340194029e-05,8.831329008055319e-05,0.00011610667726541015,4.3401110500325544e-05,0.00013191595371113041,3.535323196343206e-05,3.517308353801127e-05,4.492930631049081e-05,4.0928379173303295e-05,2.8613040155355978e-05,4.3401110500325544e-05,0.00013079015494477518,3.7855945132455876e-05,0.0001378911236887324,0.0001624582720257059,3.457786575899852e-05,3.9606933213699696e-05,8.12724433857759e-05,0.00013191595371113041,3.7855945132455876e-05,0.002077072338385201
2021-01-13,9.016207059460752e-05,8.075220897454667e-05,3.920818903073512e-05,3.8890134871644914e-05,8.479434237007917e-05,7.307634394648959e-05,3.5457088704549975e-05,0.00012595747017971051,8.075220897454667e-05,0.00010125675159625917,3.7015420330832576e-05,3.728823278306655e-05,8.034366596097235e-05,9.29855488089945e-05,3.573296460277904e-05,0.000141403833256617,3.920818903073512e-05,3.7015420330832576e-05,4.202499188162563e-05,4.0695963689902864e-05,3.980499166156227e-05,3.986996588454183e-05,4.52077672873037e-05,3.410925326478449e-05,3.8890134871644914e-05,3.728823278306655e-05,4.0695963689902864e-05,4.082447573803206e-05,3.87996518838713e-05,3.830386242846129e-05,4.073544248044395e-05,4.362049853186826e-05,8.479434237007917e-05,8.034366596097235e-05,3.980499166156227e-05,3.87996518838713e-05,0.00011891678624298975,8.819546751764686e-05,2.8617907860727713e-05,7.975680051025583e-05,7.307634394648959e-05,9.29855488089945e-05,3.986996588454183e-05,3.830386242846129e-05,8.819546751764686e-05,0.0001112346393005638,4.3510241729242094e-05,0.00010822389660164096,3.5457088704549975e-05,3.573296460277904e-05,4.52077672873037e-05,4.073544248044395e-05,2.8617907860727713e-05,4.3510241729242094e-05,0.00013156495334394584,2.8529269690926805e-05,0.00012595747017971051,0.000141403833256617,3.410925326478449e-05,4.362049853186826e-05,7.975680051025583e-05,0.00010822389660164096,2.8529269690926805e-05,0.002063370517065181
2021-01-14,8.944250558263231e-05,7.912949211642143e-05,4.0008502064637674e-05,3.933077823831587e-05,8.503836646196416e-05,7.280528288815803e-05,3.61240757615656e-05,0.00012409562797930813,7.912949211642143e-05,9.8652361310171e-05,3.787684877601299e-05,3.751451044205411e-05,7.891069686733074e-05,9.2433871869127e-05,3.751658547867319e-05,0.00012329530053207705,4.0008502064637674e-05,3.787684877601299e-05,4.1934272311631966e-05,4.09473592443328e-05,4.094469970933447e-05,3.99968879603762e-05,4.363660031753545e-05,4.95960443722588e-05,3.933077823831587e-05,3.751451044205411e-05,4.09473592443328e-05,4.112952208056288e-05,4.01113501800482e-05,3.8487213177178464e-05,4.036587574766709e-05,5.3856107613482653e-05,8.503836646196416e-05,7.891069686733074e-05,4.094469970933447e-05,4.01113501800482e-05,0.00012143156878626284,8.762104957665423e-05,2.5447353214180603e-05,0.00011257845796050718,7.280528288815803e-05,9.2433871869127e-05,3.99968879603762e-05,3.8487213177178464e-05,8.762104957665423e-05,0.00011086448528168214,4.257555768075055e-05,0.0001097639889919463,3.61240757615656e-05,3.751658547867319e-05,4.363660031753545e-05,4.036587574766709e-05,2.5447353214180603e-05,4.257555768075055e-05,0.00012568408929982056,3.96345050109804e-05,0.00012409562797930813,0.00012329530053207705,4.95960443722588e-05,5.3856107613482653e-05,0.00011257845796050718,0.0001097639889919463,3.96345050109804e-05,0.0022134481103596353
2021-01-15,8.572434265964994e-05,7.797494831505587e-05,4.0513675698531574e-05,3.964192148201866e-05,8.404464755728282e-05,7.481298426654308e-05,3.705458835252434e-05,0.00010389856712656166,7.797494831505587e-05,9.98121694585475e-05,3.758817479487835e-05,3.7345319275594504e-05,7.960237701596856e-05,9.444683379372112e-05,3.761645526458349e-05,0.0001304249689465599,4.0513675698531574e-05,3.758817479487835e-05,4.206181367398155e-05,4.104650245480649e-05,4.078050571517118e-05,3.9349563819673924e-05,4.362030429321322e-05,4.8223591274428164e-05,3.964192148201866e-05,3.7345319275594504e-05,4.104650245480649e-05,4.120166664397245e-05,4.010360931987241e-05,3.8157118044485605e-05,4.037724232311175e-05,5.252433114425891e-05,8.404464755728282e-05,7.960237701596856e-05,4.078050571517118e-05,4.010360931987241e-05,0.00012092815943586562,8.857371707952587e-05,2.5542207430645174e-05,0.00012031748632976776,7.481298426654308e-05,9.444683379372112e-05,3.9349563819673924e-05,3.8157118044485605e-05,8.857371707952587e-05,0.00011060399836011791,4.208806092285892e-05,0.00013415520553363325,3.705458835252434e-05,3.761645526458349e-05,4.362030429321322e-05,4.037724232311175e-05,2.5542207430645174e-05,4.208806092285892e-05,0.00012529865315850236,4.430350348229764e-05,0.00010389856712656166,0.0001304249689465599,4.8223591274428164e-05,5.252433114425891e-05,0.00012031748632976776,0.00013415520553363325,4.430350348229764e-05,0.002187177977940755
