Date,cov_US_EQUITY__US_EQUITY,cov_US_EQUITY__INTL_EQUITY,cov_US_EQUITY__US_BONDS,cov_US_EQUITY__INTL_BONDS,cov_US_EQUITY__US_REIT,cov_US_EQUITY__INTL_REIT,cov_US_EQUITY__GOLD,cov_US_EQUITY__BTC,cov_INTL_EQUITY__US_EQUITY,cov_INTL_EQUITY__INTL_EQUITY,cov_INTL_EQUITY__US_BONDS,cov_INTL_EQUITY__INTL_BONDS,cov_INTL_EQUITY__US_REIT,cov_INTL_EQUITY__INTL_REIT,cov_INTL_EQUITY__GOLD,cov_INTL_EQUITY__BTC,cov_US_BONDS__US_EQUITY,cov_US_BONDS__INTL_EQUITY,cov_US_BONDS__US_BONDS,cov_US_BONDS__INTL_BONDS,cov_US_BONDS__US_REIT,cov_US_BONDS__INTL_REIT,cov_US_BONDS__GOLD,cov_US_BONDS__BTC,cov_INTL_BONDS__US_EQUITY,cov_INTL_BONDS__INTL_EQUITY,cov_INTL_BONDS__US_BONDS,cov_INTL_BONDS__INTL_BONDS,cov_INTL_BONDS__US_REIT,cov_INTL_BONDS__INTL_REIT,cov_INTL_BONDS__GOLD,cov_INTL_BONDS__BTC,cov_US_REIT__US_EQUITY,cov_US_REIT__INTL_EQUITY,cov_US_REIT__US_BONDS,cov_US_REIT__INTL_BONDS,cov_US_REIT__US_REIT,cov_US_REIT__INTL_REIT,cov_US_REIT__GOLD,cov_US_REIT__BTC,cov_INTL_REIT__US_EQUITY,cov_INTL_REIT__INTL_EQUITY,cov_INTL_REIT__US_BONDS,cov_INTL_REIT__INTL_BONDS,cov_INTL_REIT__US_REIT,cov_INTL_REIT__INTL_REIT,cov_INTL_REIT__GOLD,cov_INTL_REIT__BTC,cov_GOLD__US_EQUITY,cov_GOLD__INTL_EQUITY,cov_GOLD__US_BONDS,cov_GOLD__INTL_BONDS,cov_GOLD__US_REIT,cov_GOLD__INTL_REIT,cov_GOLD__GOLD,cov_GOLD__BTC,cov_BTC__US_EQUITY,cov_BTC__INTL_EQUITY,cov_BTC__US_BONDS,cov_BTC__INTL_BONDS,cov_BTC__US_REIT,cov_BTC__INTL_REIT,cov_BTC__GOLD,cov_BTC__BTC
2021-01-04,0.00042980011071317857,0.00036753285338184295,2.1728023226367098e-05,5.53623542623737e-06,0.0004688655098243591,0.00028613546207433975,4.834513426560318e-05,0.0005666803220585336,0.00036753285338184295,0.0003705183818274625,3.1992156248915615e-05,1.2013336856347707e-05,0.0004058242940823181,0.0003023004847288617,5.307551131296239e-05,0.0005770004892396101,2.1728023226367098e-05,3.1992156248915615e-05,3.207752012851763e-05,1.0315977456465894e-05,3.190631065976901e-05,3.4911679208067236e-05,2.048076092420453e-05,0.00011667681228403206,5.53623542623737e-06,1.2013336856347707e-05,1.0315977456465894e-05,7.346073571194194e-06,1.656285719149845e-05,1.9129695320248416e-05,1.0492680170846217e-05,4.27673445778418e-05,0.0004688655098243591,0.0004058242940823181,3.190631065976901e-05,1.656285719149845e-05,0.0006235430204911569,0.0003641890954503205,6.783795621845157e-05,0.0005627209002524794,0.00028613546207433975,0.0003023004847288617,3.4911679208067236e-05,1.9129695320248416e-05,0.0003641890954503205,0.00033018997437597627,6.935479385041759e-05,0.0004326496477489496,4.834513426560318e-05,5.307551131296239e-05,2.048076092420453e-05,1.0492680170846217e-05,6.783795621845157e-05,6.935479385041759e-05,0.00013365141161260239,0.00023240723004721705,0.0005666803220585336,0.0005770004892396101,0.00011667681228403206,4.27673445778418e-05,0.0005627209002524794,0.0004326496477489496,0.00023240723004721705,0.0024622814753081
2021-01-05,0.00044186674846302936,0.0003642471718802928,2.1722836694533047e-05,5.496211655543107e-06,0.0004935082915679659,0.0002923918565537379,4.467740483209189e-05,0.0005536577423047204,0.0003642471718802928,0.00037147998085648677,3.195361512491993e-05,1.1949062973378087e-05,0.0003981653898957941,0.00030051274134904873,5.4920501863240374e-05,0.0005813054829502353,2.1722836694533047e-05,3.195361512491993e-05,3.207739904552802e-05,1.029410000072059e-05,3.214934732292263e-05,3.505399361960181e-05,1.9823757549711695e-05,0.00011617204242228565,5.496211655543107e-06,1.1949062973378087e-05,1.029410000072059e-05,7.3132420180797264e-06,1.6786344140842998e-05,1.9145025326671174e-05,1.0358376018546486e-05,4.320213104467136e-05,0.0004935082915679659,0.0003981653898957941,3.214934732292263e-05,1.6786344140842998e-05,0.0006838438848567094,0.0003789759116334075,5.58068840929747e-05,0.000526751085405897,0.0002923918565537379,0.00030051274134904873,3.505399361960181e-05,1.9145025326671174e-05,0.0003789759116334075,0.00033506903842708884,6.424520404792243e-05,0.0004329619587276708,4.467740483209189e-05,5.4920501863240374e-05,1.9823757549711695e-05,1.0358376018546486e-05,5.58068840929747e-05,6.424520404792243e-05,0.00015627606895757552,0.0002127588241292151,0.0005536577423047204,0.0005813054829502353,0.00011617204242228565,4.320213104467136e-05,0.000526751085405897,0.0004329619587276708,0.0002127588241292151,0.002476510882733293
2021-01-06,0.0004409441990028719,0.0003664284424770107,2.146200057876992e-05,5.359852355223061e-06,0.0004898529052741792,0.00029676656160761746,4.674605820450198e-05,0.0005469208075225291,0.0003664284424770107,0.0003769650001595866,3.156618782708817e-05,1.1695854722585954e-05,0.0003958365251081585,0.0003090321194280589,5.685155333612508e-05,0.0005812578841581908,2.146200057876992e-05,3.156618782708817e-05,3.213589240256457e-05,1.0328884776018111e-05,3.193769628563674e-05,3.46695257889705e-05,1.9583286273986127e-05,0.00011552964673071024,5.359852355223061e-06,1.1695854722585954e-05,1.0328884776018111e-05,7.361074493627872e-06,1.6911544679034207e-05,1.8747421687665582e-05,1.0239879884623625e-05,4.371096029943583e-05,0.0004898529052741792,0.0003958365251081585,3.193769628563674e-05,1.6911544679034207e-05,0.0006803453194812734,0.0003778064771216079,5.6365171611508614e-05,0.0005126528639045395,0.00029676656160761746,0.0003090321194280589,3.46695257889705e-05,1.8747421687665582e-05,0.0003778064771216079,0.00034941182555422887,6.575418980569976e-05,0.0004325292551045087,4.674605820450198e-05,5.685155333612508e-05,1.9583286273986127e-05,1.0239879884623625e-05,5.6365171611508614e-05,6.575418980569976e-05,0.00015688052597231003,0.00021484249717561445,0.0005469208075225291,0.0005812578841581908,0.00011552964673071024,4.371096029943583e-05,0.0005126528639045395,0.0004325292551045087,0.00021484249717561445,0.0023856189519272336
2021-01-07,0.00044441591564127627,0.0003710782614827469,2.164426279091297e-05,5.245316533411787e-06,0.0004898780411345358,0.00029824517219917743,4.8184265036911734e-05,0.0005552370060290191,0.0003710782614827469,0.0003802300589455632,3.114137342474813e-05,1.1391030702262474e-05,0.0003987883181453617,0.00030650253092067055,5.541603321504233e-05,0.0005899367323078968,2.164426279091297e-05,3.114137342474813e-05,3.2751495824481555e-05,1.0399300688406382e-05,3.21897035841545e-05,3.4634570338556216e-05,2.1019116325492106e-05,0.00011392039425691246,5.245316533411787e-06,1.1391030702262474e-05,1.0399300688406382e-05,7.3244665069399865e-06,1.7177482155281885e-05,1.8431944606648747e-05,1.0202223457308873e-05,4.416901802013454e-05,0.0004898780411345358,0.0003987883181453617,3.21897035841545e-05,1.7177482155281885e-05,0.000677554508913717,0.00038213696379976123,5.867451928479882e-05,0.000514826161392143,0.00029824517219917743,0.00030650253092067055,3.4634570338556216e-05,1.8431944606648747e-05,0.00038213696379976123,0.00034493543044154535,6.580508528531051e-05,0.0004335352462785174,4.8184265036911734e-05,5.541603321504233e-05,2.1019116325492106e-05,1.0202223457308873e-05,5.867451928479882e-05,6.580508528531051e-05,0.00016935731251186182,0.00023053064877887584,0.0005552370060290191,0.0005899367323078968,0.00011392039425691246,4.416901802013454e-05,0.000514826161392143,0.0004335352462785174,0.00023053064877887584,0.0024012921512792168
2021-01-08,0.0004596807230285639,0.0003730829457605646,2.1706867308901464e-05,5.159480156485768e-06,0.0004901605807687914,0.0002897997301482275,4.7813012322433646e-05,0.0005657405107830674,0.0003730829457605646,0.00038092593633285484,3.109580729479805e-05,1.1309916715138905e-05,0.000398964907053516,0.0003058629024841894,5.567390059312862e-05,0.0005926609075354148,2.1706867308901464e-05,3.109580729479805e-05,3.275591115277172e-05,1.0391126412091624e-05,3.223788509354127e-05,3.479196363661339e-05,2.0879219857098924e-05,0.0001133466640044162,5.159480156485768e-06,1.1309916715138905e-05,1.0391126412091624e-05,7.322452451362439e-06,1.7148462115526366e-05,1.8466712041264877e-05,1.0138815143214353e-05,4.4388964641500124e-05,0.0004901605807687914,0.000398964907053516,3.223788509354127e-05,1.7148462115526366e-05,0.0006772076316253989,0.0003817780660639424,5.967005048768539e-05,0.0005123053123517812,0.0002897997301482275,0.0003058629024841894,3.479196363661339e-05,1.8466712041264877e-05,0.0003817780660639424,0.00035171226939096435,6.633157101465343e-05,0.0004335663230917578,4.7813012322433646e-05,5.567390059312862e-05,2.0879219857098924e-05,1.0138815143214353e-05,5.967005048768539e-05,6.633157101465343e-05,0.00016726918832712836,0.00023489267603332435,0.0005657405107830674,0.0005926609075354148,0.0001133466640044162,4.4388964641500124e-05,0.0005123053123517812,0.0004335663230917578,0.00023489267603332435,0.002398049021926084
2021-01-11,0.0004603665048250422,0.0003782633651977494,2.185860176325063e-05,5.24968638856153e-06,0.0004907703736044242,0.0002926367244660937,4.605433487874827e-05,0.0005701498703880781,0.0003782633651977494,0.0003817906071117916,3.111986454375889e-05,1.156916165835919e-05,0.0004072051238600527,0.000306509067699578,5.2658001106384966e-05,0.000597988385109927,2.185860176325063e-05,3.111986454375889e-05,3.276928216795322e-05,1.0349280628180982e-05,3.215336281507258e-05,3.481205784611833e-05,2.1639249908618482e-05,0.00011326080322602188,5.24968638856153e-06,1.156916165835919e-05,1.0349280628180982e-05,7.175320640590812e-06,1.6717024381993413e-05,1.8653046378973276e-05,1.0011607726593727e-05,4.422649833650884e-05,0.0004907703736044242,0.0004072051238600527,3.215336281507258e-05,1.6717024381993413e-05,0.0006774653563028841,0.0003863677135178465,5.5406833133250476e-05,0.0005156306442422816,0.0002926367244660937,0.000306509067699578,3.481205784611833e-05,1.8653046378973276e-05,0.0003863677135178465,0.000352446953678721,6.38271142713067e-05,0.0004348019131732488,4.605433487874827e-05,5.2658001106384966e-05,2.1639249908618482e-05,1.0011607726593727e-05,5.5406833133250476e-05,6.38271142713067e-05,0.00021625842305692908,0.0002469742486769573,0.0005701498703880781,0.000597988385109927,0.00011326080322602188,4.422649833650884e-05,0.0005156306442422816,0.0004348019131732488,0.0002469742486769573,0.002410987372861719
2021-01-12,0.0004504879814700985,0.00038685970302956065,2.1843330264227523e-05,5.257533811301161e-06,0.000468067753194281,0.00029095072118045953,5.3646789644144466e-05,0.0005970391903511451,0.00038685970302956065,0.00038953023156256916,3.136170257532434e-05,1.183781391667945e-05,0.0004244035711518541,0.0003184555624338776,5.2617229314914836e-05,0.0006100200555494279,2.1843330264227523e-05,3.136170257532434e-05,3.2772016674051155e-05,1.0377209712553857e-05,3.182956841328744e-05,3.494832496198228e-05,2.2249889810164688e-05,0.00011510678576445888,5.257533811301161e-06,1.183781391667945e-05,1.0377209712553857e-05,7.267653800265489e-06,1.674291329274166e-05,1.895508643844829e-05,1.0170781869392588e-05,4.2538898433059263e-05,0.000468067753194281,0.0004244035711518541,3.182956841328744e-05,1.674291329274166e-05,0.0006237448759310843,0.0003806729855392626,6.708043247912245e-05,0.0005742747727173226,0.00029095072118045953,0.0003184555624338776,3.494832496198228e-05,1.895508643844829e-05,0.0003806729855392626,0.0003600127028433548,7.159143609259816e-05,0.0004397560459135661,5.3646789644144466e-05,5.2617229314914836e-05,2.2249889810164688e-05,1.0170781869392588e-05,6.708043247912245e-05,7.159143609259816e-05,0.00019274969868691974,0.00023812232612414208,0.0005970391903511451,0.0006100200555494279,0.00011510678576445888,4.2538898433059263e-05,0.0005742747727173226,0.0004397560459135661,0.00023812232612414208,0.0023811319264123274
2021-01-13,0.00044881401107706284,0.00038294536231933007,2.2063728090488157e-05,5.129471611158183e-06,0.00046906087191873506,0.00028568949199627564,5.32321149652817e-05,0.0005978085568367843,0.00038294536231933007,0.000384404600081174,3.1579526298792725e-05,1.1958379701125659e-05,0.00042483533874348626,0.0003098783104024463,5.266343091190573e-05,0.0006038210715351047,2.2063728090488157e-05,3.1579526298792725e-05,3.276627639213218e-05,1.0292927504268805e-05,3.198651213743776e-05,3.5409183694534836e-05,2.2369321245815446e-05,0.00011587158314508534,5.129471611158183e-06,1.1958379701125659e-05,1.0292927504268805e-05,7.268402923313424e-06,1.6693176968866662e-05,1.932534888489749e-05,1.0096355178347145e-05,4.1817122673362594e-05,0.00046906087191873506,0.00042483533874348626,3.198651213743776e-05,1.6693176968866662e-05,0.0006246752360051617,0.00038128181716721516,6.658569537751885e-05,0.0005755795474411305,0.00028568949199627564,0.0003098783104024463,3.5409183694534836e-05,1.932534888489749e-05,0.00038128181716721516,0.0003455164995654787,7.097791848247616e-05,0.0004387475104524951,5.32321149652817e-05,5.266343091190573e-05,2.2369321245815446e-05,1.0096355178347145e-05,6.658569537751885e-05,7.097791848247616e-05,0.00019438043234940256,0.0002407435217869849,0.0005978085568367843,0.0006038210715351047,0.00011587158314508534,4.1817122673362594e-05,0.0005755795474411305,0.0004387475104524951,0.0002407435217869849,0.0023802358994573555
2021-01-14,0.00044730544881594334,0.0003798564103193737,2.1977423876225498e-05,5.007158824647087e-06,0.0004718549500681592,0.00028624746808079125,5.6429299884583215e-05,0.0005964631134502019,0.0003798564103193737,0.0003802496244764296,3.213248278240111e-05,1.1933669889456985e-05,0.0004253316390701209,0.0003105456253342582,5.854671415502474e-05,0.0005973097565173269,2.1977423876225498e-05,3.213248278240111e-05,3.225582257437685e-05,1.0377830428834666e-05,3.239094979533639e-05,3.543820759711861e-05,2.0454481123715762e-05,0.00012019107321588572,5.007158824647087e-06,1.1933669889456985e-05,1.0377830428834666e-05,7.593455805886239e-06,1.7562337820743034e-05,1.9263865484715056e-05,9.779504290246916e-06,3.9554451509792744e-05,0.0004718549500681592,0.0004253316390701209,3.239094979533639e-05,1.7562337820743034e-05,0.0006342059420240151,0.00038253451878851434,6.980046805144954e-05,0.0005893247550610477,0.00028624746808079125,0.0003105456253342582,3.543820759711861e-05,1.9263865484715056e-05,0.00038253451878851434,0.0003463863019612674,7.24255131600149e-05,0.00044035966105450067,5.6429299884583215e-05,5.854671415502474e-05,2.0454481123715762e-05,9.779504290246916e-06,6.980046805144954e-05,7.24255131600149e-05,0.00018529433051802925,0.0002484706510725764,0.0005964631134502019,0.0005973097565173269,0.00012019107321588572,3.9554451509792744e-05,0.0005893247550610477,0.00044035966105450067,0.0002484706510725764,0.0023606890240826526
2021-01-15,0.00043348308452849317,0.00037757753757985854,2.1904496627042918e-05,4.914473962169464e-06,0.00047198289539311926,0.0002941295413197918,5.7284583799361056e-05,0.0005861520936541511,0.00037757753757985854,0.00038249287049965555,3.2037996596359045e-05,1.1822703216315787e-05,0.0004270925419151052,0.000314723157281941,5.884240991869188e-05,0.0006005016993480957,2.1904496627042918e-05,3.2037996596359045e-05,3.232475699390599e-05,1.0414337198345032e-05,3.2255079364653455e-05,3.49183825647319e-05,2.038981862531127e-05,0.00012045545869673179,4.914473962169464e-06,1.1822703216315787e-05,1.0414337198345032e-05,7.640944599814872e-06,1.7306005943342908e-05,1.8924932891957098e-05,9.732223046138455e-06,4.0106028407873464e-05,0.00047198289539311926,0.0004270925419151052,3.2255079364653455e-05,1.7306005943342908e-05,0.0006365961864447648,0.00038490252272604426,6.882016876260153e-05,0.000593184559932439,0.0002941295413197918,0.000314723157281941,3.49183825647319e-05,1.8924932891957098e-05,0.00038490252272604426,0.00034385189384892966,7.130162362892897e-05,0.0004432484551834978,5.7284583799361056e-05,5.884240991869188e-05,2.038981862531127e-05,9.732223046138455e-06,6.882016876260153e-05,7.130162362892897e-05,0.00018538257830382342,0.0002472945718477047,0.0005861520936541511,0.0006005016993480957,0.00012045545869673179,4.0106028407873464e-05,0.000593184559932439,0.0004432484551834978,0.0002472945718477047,0.0023506221733522945
