number,state,avg_frobenius,avg_qlike,objective_value,window,C,gamma_mode,gamma,gamma_used,epsilon,n_forecasts,n_refits,datetime_start,datetime_complete,duration
45,COMPLETE,0.0020371673477408833,25.322502146558598,0.0020371673477408833,189,0.05557277295815077,scale,,scale,0.00012663797147644673,485,485,2026-04-15 11:47:44.913320,2026-04-15 11:48:34.527896,0 days 00:00:49.614576
42,COMPLETE,0.0020371951007174495,25.323956137545228,0.0020371951007174495,189,0.055688424720252594,scale,,scale,0.000540981217426442,485,485,2026-04-15 11:45:21.627090,2026-04-15 11:46:11.284640,0 days 00:00:49.657550
41,COMPLETE,0.002037211763500483,25.082123958234245,0.002037211763500483,189,0.043210548114116745,scale,,scale,0.0003368572396064145,485,485,2026-04-15 11:44:32.353440,2026-04-15 11:45:21.625645,0 days 00:00:49.272205
28,COMPLETE,0.0020377122359103864,25.53806744822863,0.0020377122359103864,189,0.0659016126638371,scale,,scale,0.001951083238099757,485,485,2026-04-15 11:15:11.113073,2026-04-15 11:15:41.493461,0 days 00:00:30.380388
19,COMPLETE,0.002037831665799409,25.0062548424543,0.002037831665799409,189,0.039859015991895355,scale,,scale,0.000333003316309339,485,485,2026-04-15 11:08:43.583393,2026-04-15 11:09:13.963284,0 days 00:00:30.379891
31,COMPLETE,0.0020382471808637775,24.983397433142173,0.0020382471808637775,189,0.03842929229676562,scale,,scale,0.00045941146596428767,485,485,2026-04-15 11:17:50.454134,2026-04-15 11:18:20.675114,0 days 00:00:30.220980
26,COMPLETE,0.002039001699304049,24.938845684103153,0.002039001699304049,189,0.034692982242000174,scale,,scale,0.002061712094670816,485,485,2026-04-15 11:13:13.130130,2026-04-15 11:13:43.826571,0 days 00:00:30.696441
21,COMPLETE,0.002040869486036696,24.97025032017449,0.002040869486036696,189,0.027233316200020737,scale,,scale,0.00037020288200236885,485,485,2026-04-15 11:09:45.025492,2026-04-15 11:10:15.826867,0 days 00:00:30.801375
16,COMPLETE,0.0020415322358922944,24.974533830317487,0.0020415322358922944,189,0.02589920623514792,scale,,scale,0.0009776371615709354,485,485,2026-04-15 11:07:12.047729,2026-04-15 11:07:42.809763,0 days 00:00:30.762034
22,COMPLETE,0.0020416887612756166,25.83903351399934,0.0020416887612756166,189,0.08303007717285622,scale,,scale,0.00031556345000734474,485,485,2026-04-15 11:10:15.827926,2026-04-15 11:10:46.597447,0 days 00:00:30.769521
30,COMPLETE,0.0020532987924635525,26.38063464819083,0.0020532987924635525,189,0.11348262081739635,scale,,scale,0.007553740342858143,485,485,2026-04-15 11:17:19.611380,2026-04-15 11:17:50.451835,0 days 00:00:30.840455
34,COMPLETE,0.0020578088318068464,24.139050795013024,0.0020578088318068464,252,0.03857304742527042,scale,,scale,5.957521161618979e-05,485,485,2026-04-15 11:37:07.459127,2026-04-15 11:37:50.348275,0 days 00:00:42.889148
17,COMPLETE,0.0020598259207276455,25.098363172373436,0.0020598259207276455,189,0.024149396316414825,numeric,0.03057925975499065,0.03057925975499065,0.0007019251620173998,485,485,2026-04-15 11:07:42.812727,2026-04-15 11:08:13.183590,0 days 00:00:30.370863
47,COMPLETE,0.0020626603073005006,26.6672207031948,0.0020626603073005006,189,0.12813441786228236,scale,,scale,0.00011696766705514469,485,485,2026-04-15 11:50:41.608482,2026-04-15 11:51:31.162250,0 days 00:00:49.553768
23,COMPLETE,0.0020637657102864715,25.138950751241154,0.0020637657102864715,189,0.010524775702479257,scale,,scale,9.402368971916205e-05,485,485,2026-04-15 11:10:46.598590,2026-04-15 11:11:16.843148,0 days 00:00:30.244558
5,COMPLETE,0.0020700983169150405,21.560619563822613,0.0020700983169150405,378,1.803750643128185,numeric,0.0002359137306347715,0.0002359137306347715,0.08862326508576253,468,468,2026-04-15 10:42:44.262926,2026-04-15 10:43:53.754020,0 days 00:01:09.491094
6,COMPLETE,0.0020723182313461433,24.468398726930836,0.0020723182313461433,315,0.0027814285643757543,scale,,scale,0.028340904295147747,485,485,2026-04-15 10:43:53.756506,2026-04-15 10:44:51.572992,0 days 00:00:57.816486
40,COMPLETE,0.0020732134702661355,25.097546346493687,0.0020732134702661355,252,0.13955381735117933,scale,,scale,0.0035482992172539162,485,485,2026-04-15 11:43:18.564656,2026-04-15 11:44:32.340911,0 days 00:01:13.776255
18,COMPLETE,0.002073761089392674,25.147619565481637,0.002073761089392674,189,0.02026258696188882,numeric,0.020127885233248554,0.020127885233248554,0.0010785420546488298,485,485,2026-04-15 11:08:13.187180,2026-04-15 11:08:43.580755,0 days 00:00:30.393575
